"Plot Title: Langan T15x CO Measurer 141268"
"#","Date Time, GMT+08:00","Volt, V (LGR S/N: 10641068, SEN S/N: 10641068, LBL: CO)","Temp, °C (LGR S/N: 10641068, SEN S/N: 10641068, LBL: T)","CO# 20669027, ppm (LGR S/N: 10641068)"
1,04/12/15 11:16:44 AM,0.00004,8.285,0.004
2,04/12/15 11:16:45 AM,0.00004,8.286,0.004
3,04/12/15 11:16:46 AM,0.00004,8.286,0.004
4,04/12/15 11:16:47 AM,0.00004,8.288,0.004
5,04/12/15 11:16:48 AM,0.00004,8.290,0.004
6,04/12/15 11:16:49 AM,0.00004,8.291,0.004
7,04/12/15 11:16:50 AM,0.00004,8.293,0.004
8,04/12/15 11:16:51 AM,0.00004,8.293,0.004
9,04/12/15 11:16:52 AM,0.00004,8.294,0.004
10,04/12/15 11:16:53 AM,0.00004,8.296,0.004
11,04/12/15 11:16:54 AM,0.00004,8.297,0.004
12,04/12/15 11:16:55 AM,0.00004,8.297,0.004
13,04/12/15 11:16:56 AM,0.00004,8.299,0.004
14,04/12/15 11:16:57 AM,0.00004,8.301,0.004
15,04/12/15 11:16:58 AM,0.00004,8.302,0.004
16,04/12/15 11:16:59 AM,0.00004,8.302,0.004
17,04/12/15 11:17:00 AM,0.00004,8.304,0.004
18,04/12/15 11:17:01 AM,0.00061,8.305,0.061
19,04/12/15 11:17:02 AM,0.00168,8.307,0.168
20,04/12/15 11:17:03 AM,0.00156,8.307,0.156
21,04/12/15 11:17:04 AM,0.00004,8.308,0.004
22,04/12/15 11:17:05 AM,0.00004,8.310,0.004
23,04/12/15 11:17:06 AM,0.00004,8.311,0.004
24,04/12/15 11:17:07 AM,0.00004,8.313,0.004
25,04/12/15 11:17:08 AM,0.00004,8.313,0.004
26,04/12/15 11:17:09 AM,0.00004,8.315,0.004
27,04/12/15 11:17:10 AM,0.00004,8.316,0.004
28,04/12/15 11:17:11 AM,0.00004,8.318,0.004
29,04/12/15 11:17:12 AM,0.00004,8.318,0.004
30,04/12/15 11:17:13 AM,0.00004,8.319,0.004
31,04/12/15 11:17:14 AM,0.00004,8.321,0.004
32,04/12/15 11:17:15 AM,0.00004,8.322,0.004
33,04/12/15 11:17:16 AM,0.00004,8.324,0.004
34,04/12/15 11:17:17 AM,0.00004,8.324,0.004
35,04/12/15 11:17:18 AM,0.00004,8.325,0.004
36,04/12/15 11:17:19 AM,0.00004,8.327,0.004
37,04/12/15 11:17:20 AM,0.00004,8.329,0.004
38,04/12/15 11:17:21 AM,0.00004,8.330,0.004
39,04/12/15 11:17:22 AM,0.00004,8.330,0.004
40,04/12/15 11:17:23 AM,0.00004,8.332,0.004
41,04/12/15 11:17:24 AM,0.00004,8.333,0.004
42,04/12/15 11:17:25 AM,0.00004,8.335,0.004
43,04/12/15 11:17:26 AM,0.00004,8.336,0.004
44,04/12/15 11:17:27 AM,0.00004,8.336,0.004
45,04/12/15 11:17:28 AM,0.00004,8.338,0.004
46,04/12/15 11:17:29 AM,0.00004,8.339,0.004
47,04/12/15 11:17:30 AM,0.00004,8.341,0.004
48,04/12/15 11:17:31 AM,0.00004,8.343,0.004
49,04/12/15 11:17:32 AM,0.00004,8.343,0.004
50,04/12/15 11:17:33 AM,0.00004,8.344,0.004
51,04/12/15 11:17:34 AM,0.00004,8.346,0.004
52,04/12/15 11:17:35 AM,0.00004,8.347,0.004
53,04/12/15 11:17:36 AM,0.00004,8.349,0.004
54,04/12/15 11:17:37 AM,0.00004,8.349,0.004
55,04/12/15 11:17:38 AM,0.00004,8.350,0.004
56,04/12/15 11:17:39 AM,0.00004,8.352,0.004
57,04/12/15 11:17:40 AM,0.00004,8.353,0.004
58,04/12/15 11:17:41 AM,0.00004,8.353,0.004
59,04/12/15 11:17:42 AM,0.00004,8.355,0.004
60,04/12/15 11:17:43 AM,0.00004,8.357,0.004
61,04/12/15 11:17:44 AM,0.00004,8.358,0.004
62,04/12/15 11:17:45 AM,0.00004,8.360,0.004
63,04/12/15 11:17:46 AM,0.00004,8.360,0.004
64,04/12/15 11:17:47 AM,0.00004,8.361,0.004
65,04/12/15 11:17:48 AM,0.00004,8.363,0.004
66,04/12/15 11:17:49 AM,0.00004,8.364,0.004
67,04/12/15 11:17:50 AM,0.00004,8.364,0.004
68,04/12/15 11:17:51 AM,0.00004,8.366,0.004
69,04/12/15 11:17:52 AM,0.00004,8.367,0.004
70,04/12/15 11:17:53 AM,0.00004,8.369,0.004
71,04/12/15 11:17:54 AM,0.00004,8.369,0.004
72,04/12/15 11:17:55 AM,0.00004,8.371,0.004
73,04/12/15 11:17:56 AM,0.00004,8.372,0.004
74,04/12/15 11:17:57 AM,0.00004,8.374,0.004
75,04/12/15 11:17:58 AM,0.00004,8.374,0.004
76,04/12/15 11:17:59 AM,0.00004,8.375,0.004
77,04/12/15 11:18:00 AM,0.00004,8.377,0.004
78,04/12/15 11:18:01 AM,0.00004,8.378,0.004
79,04/12/15 11:18:02 AM,0.00004,8.378,0.004
80,04/12/15 11:18:03 AM,0.00004,8.380,0.004
81,04/12/15 11:18:04 AM,0.00004,8.381,0.004
82,04/12/15 11:18:05 AM,0.00004,8.381,0.004
83,04/12/15 11:18:06 AM,0.00004,8.383,0.004
84,04/12/15 11:18:07 AM,0.00004,8.385,0.004
85,04/12/15 11:18:08 AM,0.00004,8.386,0.004
86,04/12/15 11:18:09 AM,0.00004,8.386,0.004
87,04/12/15 11:18:10 AM,0.00004,8.388,0.004
88,04/12/15 11:18:11 AM,0.00004,8.389,0.004
89,04/12/15 11:18:12 AM,0.00004,8.389,0.004
90,04/12/15 11:18:13 AM,0.00004,8.391,0.004
91,04/12/15 11:18:14 AM,0.00004,8.392,0.004
92,04/12/15 11:18:15 AM,0.00004,8.394,0.004
93,04/12/15 11:18:16 AM,0.00004,8.394,0.004
94,04/12/15 11:18:17 AM,0.00004,8.395,0.004
95,04/12/15 11:18:18 AM,0.00004,8.397,0.004
96,04/12/15 11:18:19 AM,0.00004,8.399,0.004
97,04/12/15 11:18:20 AM,0.00004,8.399,0.004
98,04/12/15 11:18:21 AM,0.00004,8.400,0.004
99,04/12/15 11:18:22 AM,0.00004,8.402,0.004
100,04/12/15 11:18:23 AM,0.00004,8.402,0.004
101,04/12/15 11:18:24 AM,0.00004,8.403,0.004
102,04/12/15 11:18:25 AM,0.00004,8.405,0.004
103,04/12/15 11:18:26 AM,0.00004,8.406,0.004
104,04/12/15 11:18:27 AM,0.00004,8.406,0.004
105,04/12/15 11:18:28 AM,0.00004,8.408,0.004
106,04/12/15 11:18:29 AM,0.00004,8.409,0.004
107,04/12/15 11:18:30 AM,0.00004,8.409,0.004
108,04/12/15 11:18:31 AM,0.00004,8.411,0.004
109,04/12/15 11:18:32 AM,0.00004,8.413,0.004
110,04/12/15 11:18:33 AM,0.00004,8.413,0.004
111,04/12/15 11:18:34 AM,0.00004,8.414,0.004
112,04/12/15 11:18:35 AM,0.00004,8.416,0.004
113,04/12/15 11:18:36 AM,0.00004,8.417,0.004
114,04/12/15 11:18:37 AM,0.00004,8.417,0.004
115,04/12/15 11:18:38 AM,0.00004,8.419,0.004
116,04/12/15 11:18:39 AM,0.00004,8.420,0.004
117,04/12/15 11:18:40 AM,0.00004,8.422,0.004
118,04/12/15 11:18:41 AM,0.00004,8.422,0.004
119,04/12/15 11:18:42 AM,0.00004,8.423,0.004
120,04/12/15 11:18:43 AM,0.00004,8.425,0.004
121,04/12/15 11:18:44 AM,0.00004,8.425,0.004
122,04/12/15 11:18:45 AM,0.00004,8.427,0.004
123,04/12/15 11:18:46 AM,0.00004,8.428,0.004
124,04/12/15 11:18:47 AM,0.00004,8.428,0.004
125,04/12/15 11:18:48 AM,0.00004,8.430,0.004
126,04/12/15 11:18:49 AM,0.00004,8.431,0.004
127,04/12/15 11:18:50 AM,0.00004,8.433,0.004
128,04/12/15 11:18:51 AM,0.00004,8.433,0.004
129,04/12/15 11:18:52 AM,0.00004,8.434,0.004
130,04/12/15 11:18:53 AM,0.00004,8.436,0.004
131,04/12/15 11:18:54 AM,0.00004,8.436,0.004
132,04/12/15 11:18:55 AM,0.00004,8.438,0.004
133,04/12/15 11:18:56 AM,0.00004,8.439,0.004
134,04/12/15 11:18:57 AM,0.00004,8.439,0.004
135,04/12/15 11:18:58 AM,0.00004,8.441,0.004
136,04/12/15 11:18:59 AM,0.00004,8.442,0.004
137,04/12/15 11:19:00 AM,0.00004,8.442,0.004
138,04/12/15 11:19:01 AM,0.00004,8.444,0.004
139,04/12/15 11:19:02 AM,0.00004,8.445,0.004
140,04/12/15 11:19:03 AM,0.00004,8.445,0.004
141,04/12/15 11:19:04 AM,0.00004,8.447,0.004
142,04/12/15 11:19:05 AM,0.00004,8.447,0.004
143,04/12/15 11:19:06 AM,0.00004,8.448,0.004
144,04/12/15 11:19:07 AM,0.00004,8.450,0.004
145,04/12/15 11:19:08 AM,0.00004,8.450,0.004
146,04/12/15 11:19:09 AM,0.00004,8.452,0.004
147,04/12/15 11:19:10 AM,0.00004,8.453,0.004
148,04/12/15 11:19:11 AM,0.00004,8.453,0.004
149,04/12/15 11:19:12 AM,0.00004,8.455,0.004
150,04/12/15 11:19:13 AM,0.00004,8.456,0.004
151,04/12/15 11:19:14 AM,0.00004,8.456,0.004
152,04/12/15 11:19:15 AM,0.00004,8.458,0.004
153,04/12/15 11:19:16 AM,0.00004,8.458,0.004
154,04/12/15 11:19:17 AM,0.00004,8.459,0.004
155,04/12/15 11:19:18 AM,0.00004,8.461,0.004
156,04/12/15 11:19:19 AM,0.00004,8.461,0.004
157,04/12/15 11:19:20 AM,0.00004,8.462,0.004
158,04/12/15 11:19:21 AM,0.00004,8.462,0.004
159,04/12/15 11:19:22 AM,0.00004,8.464,0.004
160,04/12/15 11:19:23 AM,0.00004,8.465,0.004
161,04/12/15 11:19:24 AM,0.00004,8.465,0.004
162,04/12/15 11:19:25 AM,0.00004,8.467,0.004
163,04/12/15 11:19:26 AM,0.00004,8.467,0.004
164,04/12/15 11:19:27 AM,0.00004,8.469,0.004
165,04/12/15 11:19:28 AM,0.00004,8.470,0.004
166,04/12/15 11:19:29 AM,0.00004,8.470,0.004
167,04/12/15 11:19:30 AM,0.00004,8.472,0.004
168,04/12/15 11:19:31 AM,0.00004,8.473,0.004
169,04/12/15 11:19:32 AM,0.00004,8.473,0.004
170,04/12/15 11:19:33 AM,0.00004,8.475,0.004
171,04/12/15 11:19:34 AM,0.00004,8.475,0.004
172,04/12/15 11:19:35 AM,0.00004,8.476,0.004
173,04/12/15 11:19:36 AM,0.00004,8.478,0.004
174,04/12/15 11:19:37 AM,0.00004,8.478,0.004
175,04/12/15 11:19:38 AM,0.00004,8.479,0.004
176,04/12/15 11:19:39 AM,0.00004,8.481,0.004
177,04/12/15 11:19:40 AM,0.00004,8.481,0.004
178,04/12/15 11:19:41 AM,0.00004,8.483,0.004
179,04/12/15 11:19:42 AM,0.00004,8.483,0.004
180,04/12/15 11:19:43 AM,0.00004,8.484,0.004
181,04/12/15 11:19:44 AM,0.00004,8.486,0.004
182,04/12/15 11:19:45 AM,0.00004,8.486,0.004
183,04/12/15 11:19:46 AM,0.00004,8.487,0.004
184,04/12/15 11:19:47 AM,0.00004,8.489,0.004
185,04/12/15 11:19:48 AM,0.00004,8.489,0.004
186,04/12/15 11:19:49 AM,0.00004,8.490,0.004
187,04/12/15 11:19:50 AM,0.00004,8.490,0.004
188,04/12/15 11:19:51 AM,0.00004,8.492,0.004
189,04/12/15 11:19:52 AM,0.00004,8.493,0.004
190,04/12/15 11:19:53 AM,0.00004,8.493,0.004
191,04/12/15 11:19:54 AM,0.00004,8.495,0.004
192,04/12/15 11:19:55 AM,0.00004,8.495,0.004
193,04/12/15 11:19:56 AM,0.00004,8.497,0.004
194,04/12/15 11:19:57 AM,0.00004,8.498,0.004
195,04/12/15 11:19:58 AM,0.00004,8.498,0.004
196,04/12/15 11:19:59 AM,0.00004,8.500,0.004
197,04/12/15 11:20:00 AM,0.00004,8.501,0.004
198,04/12/15 11:20:01 AM,0.00004,8.501,0.004
199,04/12/15 11:20:02 AM,0.00004,8.503,0.004
200,04/12/15 11:20:03 AM,0.00004,8.503,0.004
