AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;14:33:28;782094;789362;-0.93;842269;498196;52.51;53;32;0;0;0.000000E+0;0.000000E+0
2015/04/12;14:33:38;781945;789150;-0.92;842474;498198;52.53;50;33;0;0;52980;70524
2015/04/12;14:33:48;781900;788652;-0.86;842513;497056;52.77;51;33;0;0;381675;676309
2015/04/12;14:33:58;781908;784836;-0.37;842458;491526;53.88;49;33;0;0;3365646;3344175
2015/04/12;14:34:08;781906;779787;0.27;842439;485164;55.18;50;33;0;0;4377827;3832042
2015/04/12;14:34:18;781884;774159;0.99;842589;478217;56.64;50;33;0;0;4896248;4302044
2015/04/12;14:34:28;781928;764738;2.22;842517;466269;59.16;51;33;0;0;8183098;7284388
2015/04/12;14:34:38;781940;757756;3.14;842422;458950;60.73;50;33;0;0;6234290;4628599
2015/04/12;14:34:48;781814;754758;3.52;842388;456107;61.35;50;33;0;0;2580733;1819029
2015/04/12;14:34:58;781941;753303;3.73;842503;454503;61.72;50;33;0;0;1419639;1078257
2015/04/12;14:35:08;781860;752675;3.80;842363;454029;61.80;50;33;0;0;495649;258485
2015/04/12;14:35:18;781823;752539;3.82;842464;453963;61.83;49;33;0;0;92357;79757
2015/04/12;14:35:28;781818;751836;3.91;842416;452795;62.08;49;33;0;0;642724;757447
2015/04/12;14:35:38;781822;750052;4.15;842441;450752;62.54;49;33;0;0;1648539;1368588
2015/04/12;14:35:48;781841;748941;4.30;842484;449731;62.77;50;33;0;0;1022375;683214
2015/04/12;14:35:58;781804;748272;4.38;842383;448962;62.93;49;33;0;0;586030;478504
2015/04/12;14:36:08;781876;747760;4.46;842471;448392;63.07;50;33;0;0;526967;405106
2015/04/12;14:36:18;781807;747261;4.52;842443;447888;63.18;50;33;0;0;393101;321587
2015/04/12;14:36:28;781806;746781;4.58;842396;447296;63.30;48;33;0;0;453289;388831
2015/04/12;14:36:38;781738;746293;4.64;842433;446858;63.41;51;33;0;0;377015;295697
2015/04/12;14:36:48;781774;745866;4.70;842387;446284;63.53;51;33;0;0;411392;355531
2015/04/12;14:36:58;781767;745433;4.76;842366;445801;63.63;51;33;0;0;380371;305608
2015/04/12;14:37:08;781709;744941;4.82;842427;445315;63.75;50;33;0;0;397680;342733
2015/04/12;14:37:18;781721;744501;4.88;842360;444806;63.86;48;33;0;0;428481;326613
2015/04/12;14:37:28;781756;744209;4.92;842419;444469;63.94;50;33;0;0;296581;243960
2015/04/12;14:37:38;781750;743819;4.97;842452;444024;64.04;51;33;0;0;343622;300681
2015/04/12;14:37:48;781738;743344;5.04;842479;443402;64.19;51;33;0;0;414768;414205
2015/04/12;14:37:58;781719;741911;5.23;842346;441516;64.60;51;33;0;0;1267575;1185735
2015/04/12;14:38:08;781801;740130;5.48;842381;439478;65.06;50;33;0;0;1702116;1375481
2015/04/12;14:38:18;781649;738076;5.74;842416;437393;65.54;50;33;0;0;1753871;1413477
2015/04/12;14:38:28;781660;736234;5.99;842389;435332;66.01;50;33;0;0;1705193;1382241
2015/04/12;14:38:38;781696;734325;6.25;842360;433236;66.49;51;33;0;0;1757897;1384264
2015/04/12;14:38:48;781742;732456;6.51;842512;431222;66.98;49;33;0;0;1805368;1455222
2015/04/12;14:38:58;781623;730403;6.78;842335;428671;67.55;51;33;0;0;1766047;1653289
2015/04/12;14:39:08;781594;724468;7.59;842426;421212;69.31;51;33;0;0;5403219;5101955
2015/04/12;14:39:18;781655;716510;8.70;842362;412452;71.41;50;33;0;0;7548183;6170153
2015/04/12;14:39:28;781608;708954;9.76;842401;404236;73.43;50;33;0;0;7153245;5942330
2015/04/12;14:39:38;781604;701205;10.85;842520;396042;75.49;50;33;0;0;7454410;6075685
2015/04/12;14:39:48;781730;694165;11.88;842520;388400;77.44;49;33;0;0;7098677;5858326
2015/04/12;14:39:58;2490994;3491137;-33.75;787471;3221262;-140.87;60870;11;0;0;-254369;-528376
2015/04/12;14:40:08;7095811;6649711;6.49;638550;839169;-27.32;626;38;0;0;21814246;26723208
2015/04/12;14:40:18;319861;725500;-81.90;598059;838970;-33.85;515;38;0;0;-58233429;-1867277
2015/04/12;14:40:28;291487;725345;-91.17;4480876;3228484;32.78;17923;108;0;0;-175443;547688
2015/04/12;14:40:38;6908960;7629165;-9.92;6753261;5245095;25.27;25954;102;0;0;1062157;-42615
2015/04/12;14:40:48;15666394;132011;477.64;4415284;4010600;9.61;49677;3;0;0;3329980;-46443
2015/04/12;14:40:58;6253685;4408388;34.97;7086194;6909289;2.53;17247;104;0;0;-8708487;-60521
2015/04/12;14:41:08;781234;344129;81.99;842153;115244;198.89;96;33;0;0;166181102;301347624
2015/04/12;14:41:18;6239281;3303491;63.59;7107943;4473951;46.29;13876;50;0;0;-449845;-1620172
2015/04/12;14:41:28;2126437;7170412;-121.55;15391053;6440459;87.12;14129;54;0;0;-4445930;425686
2015/04/12;14:41:38;14238720;7796748;60.23;3420465;6832991;-69.20;2571;13;0;0;23988956;-8957453
2015/04/12;14:41:48;7694180;4480876;54.06;7497060;6908960;8.17;13361;95;0;0;-156460;853102
2015/04/12;14:41:58;478522;11602923;-318.83;6422617;9833689;-42.60;3277;58;0;0;-38608633;-2282409
2015/04/12;14:42:08;3223875;4415284;-31.45;6775909;6253685;8.02;8224;52;0;0;11856333;906799
2015/04/12;14:42:18;6644846;7086194;-6.43;7497055;7499634;-0.03;8308;49;0;0;1021720;-142834
2015/04/12;14:42:28;3345614;991488;121.62;658193;224013;107.78;15144;4;0;0;2868894;1048850
2015/04/12;14:42:38;3350560;3695718;-9.80;2105405;3159089;-40.58;24428;68;0;0;-1825418;-894746
2015/04/12;14:42:48;13490435;15884;674.44;1161217;854539;30.67;3596;41;0;0;64560506;2918817
2015/04/12;14:42:58;2112818;3617568;-53.78;4010600;3219488;21.97;30055;108;0;0;-8220906;-42619
2015/04/12;14:43:08;226668;839140;-130.89;67754;725432;-237.09;1039;12;0;0;-25181142;-36733719
2015/04/12;14:43:18;3303491;2105405;45.05;6832991;2112818;117.37;13112;103;0;0;4552607;3982730
2015/04/12;14:43:28;2327307;13478403;-175.64;15717132;1176064;259.26;3873;4;0;0;-19332976;5397157
2015/04/12;14:43:38;6832991;2112818;117.37;4415284;4010600;9.61;25956;48;0;0;3830194;-1416982
2015/04/12;14:43:48;14683114;12911357;12.86;3280088;9765092;-109.09;8448;15;0;0;-4197570;-2070160
2015/04/12;14:43:58;4415284;4010600;9.61;6239281;3303491;63.59;25953;57;0;0;-42435;980260
2015/04/12;14:44:08;780729;175768;149.11;841811;50072;282.21;102;33;0;0;464009046;315770151
2015/04/12;14:44:18;6239281;3303491;63.59;3420465;6832991;-69.20;13874;99;0;0;-2091358;-3731553
2015/04/12;14:44:28;15342925;7121163;76.76;14165760;11610636;19.89;25612;0;0;0;174466;512462
