Elapsed Time (SECOND),Delivered Fuel Volume(mm3),Engine Load Factor(%,Engine Speed(rpm),Fuel Rail Temperature(Deg F),Fuel Temperature(Deg F),Intake Manifold #2 Air Temperature(Deg F),Intake Manifold #2 Pressure(psi),Intake Manifold Air Temperature(Deg F),Intake Manifold Pressure(psi),Left Exhaust Temperature(Deg F),Right Exhaust Temperature(Deg F),Throttle Position(%),Ambient Air Temperature(Deg F),Engine Coolant Temperature(Deg F),Battery Voltage(Volts),Fuel Consumption Rate(gal/h),Ground Speed(mph),Truck Payload(ton),Tank Fuel Level(%)
12:41:58 PM,112.875,14,701,107.1,66,74.5,0,64.2,0,295,225,0,63,124,27.5,0,0,0,84
12:41:59 PM,111.875,14,700,107.1,66,74.5,0,64.2,0,295,225,0,63,124,27.5,0,0,0,84
12:42:00 PM,110.875,14,700,107.1,66,74.5,0,64.2,0,295,225,0,63,124,27.5,0,0,0,84
12:42:01 PM,111.75,14,701,107.1,66,74.5,0,64.2,0,295,225,0,63,124,27.5,0,0,0,84
12:42:02 PM,126.875,16,690,107.1,66,74.5,0,64.2,0,295,225,0,63,124,27.5,0,0,0,84
12:42:03 PM,134,17,692,107.1,66,74.5,0,64.2,0.1,297,226,0,63,124,27.5,0,0,0,84
12:42:04 PM,134.125,17,696,107.1,66,74.5,0,64.2,0,297,226,0,63,124,27.5,0,0,0,84
12:42:05 PM,125,17,706,107.1,66,74.5,0,64.2,0,298,226,0,63,124,27.5,0,0,0,84
12:42:06 PM,111.75,14,709,107.1,66,74.5,0.1,64.4,0,298,228,0,63,124,27.5,0,0,0,84
12:42:07 PM,106.625,14,708,107.1,66,74.5,0,64.4,0,298,228,0,63,124,27.5,0,0,0,84
12:42:08 PM,106.375,13,703,107.1,66,74.5,0,64.4,0,300,228,0,63,124,27.5,0,0,0,84
12:42:09 PM,109.125,13,698,107.1,66,74.5,0,64.4,0,300,228,0,63,124,27.5,0,0,0,84
12:42:10 PM,113.375,14,697,107.1,66,74.7,0,64.4,0,300,228,0,63,124,27.5,0,0,0,84
12:42:11 PM,114,14,697,107.1,66,74.5,0,64.4,0,300,228,0,63,124,27.5,0,0,0,84
12:42:12 PM,113.25,14,700,107.1,66,74.7,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:13 PM,112.75,14,700,107.1,66,74.5,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:14 PM,112.125,14,702,107.2,66,74.7,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:15 PM,109.625,14,701,107.2,66,74.5,0,64.6,0,300,228,0,63,124,27.5,0,0,0,84
12:42:16 PM,103.875,13,706,107.2,66,74.7,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:17 PM,103,13,702,107.2,66,74.5,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:18 PM,102.375,13,700,107.2,66,74.7,0,64.6,0,298,228,0,63,124,27.5,0,0,0,84
12:42:19 PM,102.625,13,701,107.2,66,74.7,0,64.6,0,298,230,0,63,124,27.5,0,0,0,84
12:42:20 PM,104.25,13,699,107.2,66,74.7,0,64.8,0,297,230,0,63,124,27.5,0,0,0,84
12:42:21 PM,103.25,13,701,107.2,66,74.7,0,64.8,0,295,232,0,63,124,27.5,0,0,0,84
12:42:22 PM,104.375,13,699,107.2,66,74.7,0,64.8,0,295,232,0,63,124,27.5,0,0,0,84
12:42:23 PM,101.5,13,702,107.2,66,74.7,0,64.8,0,295,234,0,63,124,27.5,0,0,0,84
12:42:24 PM,100.125,13,700,107.2,66,74.7,0,64.8,0,295,234,0,63,124,27.5,0,0,0,84
12:42:25 PM,98.125,12,703,107.2,66,74.7,0,64.8,0,295,234,0,63,124,27.5,0,0,0,84
12:42:26 PM,98.625,12,702,107.2,66,74.7,0,64.8,0,293,234,0,63,124,27.5,0,0,0,84
12:42:27 PM,102.75,13,695,107.2,66,74.7,0,64.8,0,295,235,0,63,126,27.5,0,0,0,84
12:42:28 PM,104.875,13,697,107.2,66,74.7,0,64.8,0,293,235,0,63,126,27.5,0,0,0,84
12:42:29 PM,105,13,697,107.2,66,74.7,0,64.8,0,293,235,0,63,126,27.5,0,0,0,84
12:42:30 PM,102.25,13,701,107.2,66,74.7,0,64.8,0,293,237,0,63,126,27.5,0,0,0,84
12:42:31 PM,103.375,13,700,107.2,66,74.7,0,64.9,0,293,237,0,63,126,27.5,0,0,0,84
12:42:32 PM,99.75,12,701,107.2,66,74.7,0,64.9,0,291,239,0,63,126,27.5,0,0,0,84
12:42:33 PM,97.5,12,703,107.2,66,74.7,0,64.9,0,291,239,0,63,126,27.5,0,0,0,84
12:42:34 PM,99.875,12,698,107.2,66,74.7,0,64.9,0,289,241,0,63,126,27.5,0,0,0,84
12:42:35 PM,103.625,13,697,107.4,66,74.7,0,64.9,0,289,243,0,63,126,27.5,0,0,0,84
12:42:36 PM,104.375,13,698,107.4,66,74.7,0,64.9,0,289,243,0,63,126,27.5,0,0,0,84
12:42:37 PM,105.375,13,700,107.4,66,74.7,0,64.9,0,289,243,0,63,126,27.5,0,0,0,84
12:42:38 PM,102.25,13,701,107.4,66,74.7,0,64.9,0,288,243,0,63,126,27.5,0,0,0,84
12:42:39 PM,102.125,13,700,107.4,66,74.7,0,64.9,0,288,244,0,63,126,27.5,0,0,0,84
12:42:40 PM,95.625,12,704,107.4,66,74.7,0,64.9,0,288,246,0,63,126,27.5,0,0,0,84
12:42:41 PM,96.75,12,701,107.4,66,74.7,0,64.9,0,286,246,0,63,126,27.5,0,0,0,84
12:42:42 PM,98.625,12,700,107.4,66,74.7,0,64.9,0,286,248,0,63,126,27.5,0,0,0,84
12:42:43 PM,98.875,12,699,107.4,66,74.7,0,65.1,0,286,248,0,63,126,27.5,0,0,0,84
12:42:44 PM,99.25,12,700,107.4,66,74.7,0,65.1,0,284,250,0,63,126,27.5,0,0,0,84
12:42:45 PM,103.125,13,698,107.4,66,74.7,0,65.1,0,284,250,0,63,126,27.5,0,0,0,84
12:42:46 PM,92.25,12,705,107.4,66,74.7,0,65.1,0,284,250,0,63,126,27.5,0,0,0,84
12:42:47 PM,89.125,11,704,107.4,66,74.7,0,65.1,0,284,252,0,63,126,27.5,0,0,0,84
12:42:48 PM,90.25,11,699,107.4,66,74.7,0,65.1,0,284,252,0,63,126,27.5,0,0,0,84
12:42:49 PM,92.5,11,699,107.4,66,74.7,0,65.1,0,284,252,0,63,126,27.5,0,0,0,84
12:42:50 PM,92.5,11,698,107.4,66,74.7,0,65.1,0,284,252,0,63,126,27.5,0,0,0,84
12:42:51 PM,94.125,11,701,107.4,66,74.7,0,65.1,0,284,252,0,63,126,27.5,0,0,0,84
12:42:52 PM,92.625,11,701,107.4,66,74.8,0,65.3,0,284,252,0,64,126,27.5,0,0,0,84
12:42:53 PM,86.5,11,705,107.4,66,74.8,0,65.3,0,284,252,0,64,126,27.5,0,0,0,84
12:42:54 PM,86.625,10,702,107.6,66,74.8,0,65.3,0,286,252,0,64,126,27.5,0,0,0,84
12:42:55 PM,88,10,701,107.6,66,74.8,0,65.3,0,286,253,0,64,126,27.5,0,0,0,84
12:42:56 PM,87.75,10,699,107.6,66,74.8,0,65.3,0,286,252,0,64,126,27.5,0,0,0,84
