,ae52_BC,ae52_UVPM
2015-04-12 14:33:09,465222.0,178272.0
2015-04-12 14:33:10,423618.3,162900.2
2015-04-12 14:33:11,382014.6,147528.4
2015-04-12 14:33:12,340410.9,132156.6
2015-04-12 14:33:13,298807.2,116784.8
2015-04-12 14:33:14,257203.5,101413.0
2015-04-12 14:33:15,215599.8,86041.2
2015-04-12 14:33:16,173996.1,70669.4
2015-04-12 14:33:17,132392.4,55297.6
2015-04-12 14:33:18,90788.7,39925.8
2015-04-12 14:33:19,49185.0,24554.0
2015-04-12 14:33:20,44811.0,22837.0
2015-04-12 14:33:21,40437.0,21120.0
2015-04-12 14:33:22,36063.0,19403.0
2015-04-12 14:33:23,31689.0,17686.0
2015-04-12 14:33:24,27315.0,15969.0
2015-04-12 14:33:25,22941.0,14252.0
2015-04-12 14:33:26,18567.0,12535.0
2015-04-12 14:33:27,14193.0,10818.0
2015-04-12 14:33:28,9819.0,9101.0
2015-04-12 14:33:29,5445.0,7384.0
2015-04-12 14:33:30,8823.4,13730.9
2015-04-12 14:33:31,12201.8,20077.8
2015-04-12 14:33:32,15580.2,26424.7
2015-04-12 14:33:33,18958.6,32771.6
2015-04-12 14:33:34,22337.0,39118.5
2015-04-12 14:33:35,25715.4,45465.4
2015-04-12 14:33:36,29093.8,51812.3
2015-04-12 14:33:37,32472.2,58159.2
2015-04-12 14:33:38,35850.6,64506.1
2015-04-12 14:33:39,39229.0,70853.0
2015-04-12 14:33:40,69942.0,98905.0
2015-04-12 14:33:41,100655.0,126957.0
2015-04-12 14:33:42,131368.0,155009.0
2015-04-12 14:33:43,162081.0,183061.0
2015-04-12 14:33:44,192794.0,211113.0
2015-04-12 14:33:45,223507.0,239165.0
2015-04-12 14:33:46,254220.0,267217.0
2015-04-12 14:33:47,284933.0,295269.0
2015-04-12 14:33:48,315646.0,323321.0
2015-04-12 14:33:49,346359.0,351373.0
2015-04-12 14:33:50,356850.0,356636.3
2015-04-12 14:33:51,367341.0,361899.6
2015-04-12 14:33:52,377832.0,367162.9
