,drxPM1,drxPM10,drxPM2.5,drxPM4,drxTPM,lannum,lanvolt,lantemp_C,lanco_ppm,hnu,vim_eng_fuel_rate,vim_eng_ground_spd,vim_eng_load,vim_eng_payload,vim_eng_rpm,et_eng_fuel_rate,et_eng_ground_spd,et_eng_load,et_eng_rpm,ae52_BC,ae52_UVPM,co2bg_CO2ppm,co2tpi_CO2ppm,co2dil_CO2ppm,flDPI_Flow,flFP1_Flow,flFP2_Flow,flPressure1_kPa,flPressure2_kPa,flPressure4_kPa,flPressure5_kPa,flTemp1_F,flTemp2_F,flTemp4_F,flTemp5_F,flVPO_Flow,gps_elevation,gps_latitude,gps_longitude,gps_velocity,gps2_elevation,gps2_latitude,gps2_longitude,gps2_velocity,testo_CO2,testo_CO2i,testo_COppm,testo_NO2ppm,testo_NOppm,testo_O2percent,testo_Pabs_hPa2,testo_Pump_Lmin,testo_SO2ppm,testo_Ta_C,testo_Tf_C
2015-04-12 14:35:03,0.025,0.025,0.025,0.025,0.025,11900,0.0811,22.117,8.11,2.8,35.61,0.0,21.0,0.0,1257.5,8.0,-0.1,7.0,704.0,34778.6,20063.0,420.0,4322.8,345.0,31.6,4.957,4.921,101.3,101.3,101.3,96.19,20.81,21.24,20.04,32.43,15.984,25.9891891892,5702.82034189,11142.1066426,0.0,276.0,5702.819,11142.1137,1.0,0.0,0.06,42.8,1.0,4.7,20.94,960.0,1.06,0.0,25.5,28.2
2015-04-12 14:35:04,0.033,0.033,0.033,0.033,0.033,11901,0.07961,22.117,7.961,2.8,24.079,0.0,14.0,0.0,1266.5,8.0,-0.1,7.0,701.0,30583.5,18145.5,420.0,3982.0,341.05,31.61,4.904,5.047,101.3,101.3,101.3,96.21,20.8,21.25,20.05,32.46,16.063,26.1405405405,5702.82030541,11142.1066216,0.0,276.0,5702.819,11142.1136,1.0,0.0,0.06,42.8,1.0,4.7,20.94,960.0,1.055,0.0,25.5,28.2
2015-04-12 14:35:05,0.045,0.045,0.045,0.045,0.045,11902,0.07839,22.115,7.839,2.8,29.917,0.0,16.0,0.0,1317.0,8.0,-0.1,7.0,700.0,26388.4,16228.0,420.0,3641.2,337.1,31.47,4.821,4.867,101.3,101.3,101.3,96.23,20.83,21.25,20.06,32.41,15.732,26.2918918919,5702.82026892,11142.1066007,0.0,276.0,5702.819,11142.1136,1.0,0.0,0.06,42.8,1.0,4.7,20.94,960.0,1.05,0.0,25.5,28.2
2015-04-12 14:35:06,0.064,0.064,0.064,0.064,0.064,11903,0.07729,22.114,7.729,2.8,30.67,0.0,17.0,0.0,1344.5,8.1,-0.1,7.0,700.0,22193.3,14310.5,420.0,3196.5,336.3,31.66,5.258,5.145,101.3,101.3,101.3,96.17,20.79,21.22,20.04,32.43,16.009,26.4432432432,5702.82023243,11142.1065797,0.0,276.0,5702.819,11142.1136,1.0,0.0,0.06,42.9,1.0,4.3,20.94,960.0,1.05,0.0,25.5,28.2
2015-04-12 14:35:07,0.094,0.094,0.094,0.094,0.094,11904,0.07683,22.112,7.683,2.8,30.393,0.0,16.0,0.0,1382.5,8.1,-0.2,7.0,700.0,17998.2,12393.0,420.0,3102.05,336.433333333,31.57,5.289,4.932,101.3,101.3,101.3,96.19,20.78,21.27,20.05,32.43,15.895,26.5945945946,5702.82019595,11142.1065588,0.0,276.0,5702.819,11142.1136,1.0,0.0,0.06,42.9,1.0,4.3,20.94,960.0,1.05,0.0,25.5,28.2
2015-04-12 14:35:08,0.13,0.13,0.13,0.13,0.13,11905,0.07523,22.112,7.523,2.8,28.61,0.0,16.0,0.0,1416.5,8.1,-0.1,7.0,700.0,13803.1,10475.5,420.0,3007.6,336.566666667,31.56,4.844,4.931,101.3,101.3,101.3,96.18,20.82,21.25,20.05,32.37,16.245,26.7459459459,5702.82015946,11142.1065378,0.0,276.0,5702.819,11142.1135,1.0,0.0,0.06,43.1,0.8,4.3,20.94,960.0,1.05,0.0,25.5,28.1
2015-04-12 14:35:09,0.172,0.172,0.172,0.172,0.172,11906,0.07465,22.111,7.465,2.8,24.013,0.0,14.0,0.0,1418.5,8.1,-0.1,7.0,700.0,9608.0,8558.0,420.0,2913.7,336.7,31.55,4.806,4.987,101.3,101.3,101.3,96.25,20.83,21.26,20.04,32.43,16.136,26.8972972973,5702.82012297,11142.1065169,0.0,276.0,5702.819,11142.1135,1.0,0.0,0.06,43.1,0.8,4.1,20.94,960.0,1.06,0.0,25.5,28.1
2015-04-12 14:35:10,0.212,0.212,0.212,0.212,0.212,11907,0.07465,22.109,7.465,2.8,28.544,0.0,16.0,0.0,1408.5,8.0,-0.1,7.0,701.0,15334.9,15835.1,420.0,2914.95,340.25,31.62,5.1,4.902,101.3,101.3,101.3,96.22,20.8,21.25,20.04,32.44,15.971,27.0486486486,5702.82008649,11142.1064959,0.0,276.0,5702.819,11142.1135,1.0,0.0,0.06,43.1,0.8,4.0,20.94,960.0,1.06,0.0,25.5,28.1
2015-04-12 14:35:11,0.25,0.251,0.251,0.251,0.251,11908,0.07465,22.108,7.465,2.8,30.419,0.0,16.0,0.0,1425.5,8.1,-0.2,7.0,700.0,21061.8,23112.2,420.0,2916.2,343.8,31.63,4.92,5.056,101.3,101.3,101.3,96.2,20.8,21.26,20.03,32.41,16.207,27.2,5702.82005,11142.106475,0.0,276.0,5702.819,11142.1135,1.0,0.0,0.06,43.1,0.8,3.9,20.94,960.0,1.06,0.0,25.5,28.1
2015-04-12 14:35:12,0.302,0.302,0.302,0.302,0.302,11909,0.07599,22.108,7.599,2.8,26.76,0.0,15.0,0.0,1430.0,8.1,-0.1,7.0,700.0,26788.7,30389.3,420.0,3117.36666667,360.9,31.56,4.987,4.932,101.3,101.3,101.3,96.18,20.81,21.28,20.04,32.44,15.958,27.3513513514,5702.82001351,11142.1064541,0.0,276.0,5702.819,11142.1134,1.0,0.0,0.06,43.1,0.8,3.9,20.94,960.0,1.05,0.0,25.6,28.1
