,co2bg_CO2ppm
2015-04-12 14:33:21,428.0
2015-04-12 14:33:22,427.5
2015-04-12 14:33:23,427.0
2015-04-12 14:33:24,427.0
2015-04-12 14:33:25,427.0
2015-04-12 14:33:26,427.0
2015-04-12 14:33:27,426.0
2015-04-12 14:33:28,426.0
2015-04-12 14:33:29,426.0
2015-04-12 14:33:30,426.0
2015-04-12 14:33:31,426.0
2015-04-12 14:33:32,426.0
2015-04-12 14:33:33,426.0
2015-04-12 14:33:34,425.5
2015-04-12 14:33:35,425.0
2015-04-12 14:33:36,425.0
2015-04-12 14:33:37,425.0
2015-04-12 14:33:38,425.0
2015-04-12 14:33:39,425.0
2015-04-12 14:33:40,425.0
2015-04-12 14:33:41,425.0
2015-04-12 14:33:42,425.0
2015-04-12 14:33:43,425.0
2015-04-12 14:33:44,425.0
2015-04-12 14:33:45,425.0
2015-04-12 14:33:46,425.0
2015-04-12 14:33:47,425.0
2015-04-12 14:33:48,424.0
2015-04-12 14:33:49,424.0
2015-04-12 14:33:50,424.0
2015-04-12 14:33:51,423.0
2015-04-12 14:33:52,423.0
2015-04-12 14:33:53,423.0
2015-04-12 14:33:54,423.0
2015-04-12 14:33:55,423.0
2015-04-12 14:33:56,423.0
2015-04-12 14:33:57,423.0
2015-04-12 14:33:58,423.0
2015-04-12 14:33:59,423.0
2015-04-12 14:34:00,423.0
2015-04-12 14:34:01,423.0
2015-04-12 14:34:02,423.0
2015-04-12 14:34:03,423.0
2015-04-12 14:34:04,422.5
2015-04-12 14:34:05,422.0
2015-04-12 14:34:06,422.0
2015-04-12 14:34:07,422.0
2015-04-12 14:34:08,422.0
2015-04-12 14:34:09,422.0
2015-04-12 14:34:10,422.0
2015-04-12 14:34:11,422.0
2015-04-12 14:34:12,422.0
2015-04-12 14:34:13,422.0
2015-04-12 14:34:14,422.0
2015-04-12 14:34:15,422.0
2015-04-12 14:34:16,422.0
2015-04-12 14:34:17,422.0
2015-04-12 14:34:18,422.0
2015-04-12 14:34:19,422.0
2015-04-12 14:34:20,422.0
2015-04-12 14:34:21,422.0
2015-04-12 14:34:22,422.0
2015-04-12 14:34:23,422.0
2015-04-12 14:34:24,422.0
2015-04-12 14:34:25,422.0
2015-04-12 14:34:26,422.0
2015-04-12 14:34:27,422.0
2015-04-12 14:34:28,421.5
2015-04-12 14:34:29,421.0
2015-04-12 14:34:30,421.0
2015-04-12 14:34:31,421.0
2015-04-12 14:34:32,421.0
2015-04-12 14:34:33,421.0
2015-04-12 14:34:34,421.0
2015-04-12 14:34:35,421.0
2015-04-12 14:34:36,421.0
2015-04-12 14:34:37,421.0
2015-04-12 14:34:38,421.0
2015-04-12 14:34:39,421.0
2015-04-12 14:34:40,421.0
2015-04-12 14:34:41,421.0
2015-04-12 14:34:42,421.0
2015-04-12 14:34:43,421.0
2015-04-12 14:34:44,421.0
2015-04-12 14:34:45,421.0
2015-04-12 14:34:46,421.0
2015-04-12 14:34:47,421.0
2015-04-12 14:34:48,421.0
2015-04-12 14:34:49,421.0
2015-04-12 14:34:50,421.0
2015-04-12 14:34:51,420.0
2015-04-12 14:34:52,420.0
2015-04-12 14:34:53,420.0
2015-04-12 14:34:54,420.0
2015-04-12 14:34:55,420.0
2015-04-12 14:34:56,420.0
2015-04-12 14:34:57,420.0
2015-04-12 14:34:58,420.0
2015-04-12 14:34:59,420.0
2015-04-12 14:35:00,420.0
2015-04-12 14:35:01,420.0
2015-04-12 14:35:02,420.0
2015-04-12 14:35:03,420.0
2015-04-12 14:35:04,420.0
2015-04-12 14:35:05,420.0
2015-04-12 14:35:06,420.0
2015-04-12 14:35:07,420.0
2015-04-12 14:35:08,420.0
2015-04-12 14:35:09,420.0
2015-04-12 14:35:10,420.0
2015-04-12 14:35:11,420.0
2015-04-12 14:35:12,420.0
2015-04-12 14:35:13,420.0
2015-04-12 14:35:14,420.0
2015-04-12 14:35:15,419.0
2015-04-12 14:35:16,419.0
2015-04-12 14:35:17,419.0
2015-04-12 14:35:18,419.0
2015-04-12 14:35:19,419.0
2015-04-12 14:35:20,419.0
2015-04-12 14:35:21,419.0
2015-04-12 14:35:22,419.0
2015-04-12 14:35:23,419.0
2015-04-12 14:35:24,419.0
2015-04-12 14:35:25,419.0
2015-04-12 14:35:26,419.0
2015-04-12 14:35:27,419.0
2015-04-12 14:35:28,418.5
2015-04-12 14:35:29,418.0
2015-04-12 14:35:30,418.0
2015-04-12 14:35:31,418.0
2015-04-12 14:35:32,418.0
2015-04-12 14:35:33,418.0
2015-04-12 14:35:34,418.0
2015-04-12 14:35:35,418.0
2015-04-12 14:35:36,418.0
2015-04-12 14:35:37,418.0
2015-04-12 14:35:38,418.0
2015-04-12 14:35:39,418.0
2015-04-12 14:35:40,418.0
2015-04-12 14:35:41,418.0
2015-04-12 14:35:42,418.0
2015-04-12 14:35:43,418.0
2015-04-12 14:35:44,418.0
2015-04-12 14:35:45,418.0
2015-04-12 14:35:46,418.0
2015-04-12 14:35:47,418.0
2015-04-12 14:35:48,418.0
2015-04-12 14:35:49,418.0
2015-04-12 14:35:50,418.0
2015-04-12 14:35:51,418.0
2015-04-12 14:35:52,418.0
2015-04-12 14:35:53,418.0
2015-04-12 14:35:54,418.0
2015-04-12 14:35:55,418.0
2015-04-12 14:35:56,418.0
2015-04-12 14:35:57,418.0
2015-04-12 14:35:58,418.0
2015-04-12 14:35:59,418.0
2015-04-12 14:36:00,417.0
2015-04-12 14:36:01,417.0
2015-04-12 14:36:02,417.0
2015-04-12 14:36:03,417.0
2015-04-12 14:36:04,417.0
2015-04-12 14:36:05,417.0
2015-04-12 14:36:06,417.0
2015-04-12 14:36:07,417.0
2015-04-12 14:36:08,417.0
2015-04-12 14:36:09,417.0
2015-04-12 14:36:10,417.0
2015-04-12 14:36:11,417.0
2015-04-12 14:36:12,417.0
2015-04-12 14:36:13,417.0
2015-04-12 14:36:14,417.0
2015-04-12 14:36:15,417.0
2015-04-12 14:36:16,417.0
2015-04-12 14:36:17,417.0
2015-04-12 14:36:18,417.0
2015-04-12 14:36:19,416.5
2015-04-12 14:36:20,416.0
2015-04-12 14:36:21,416.0
2015-04-12 14:36:22,416.0
2015-04-12 14:36:23,416.0
2015-04-12 14:36:24,416.0
2015-04-12 14:36:25,416.0
2015-04-12 14:36:26,416.0
2015-04-12 14:36:27,416.0
2015-04-12 14:36:28,416.0
2015-04-12 14:36:29,416.0
2015-04-12 14:36:30,416.0
2015-04-12 14:36:31,416.0
2015-04-12 14:36:32,416.0
2015-04-12 14:36:33,416.0
2015-04-12 14:36:34,416.0
2015-04-12 14:36:35,416.0
2015-04-12 14:36:36,416.0
2015-04-12 14:36:37,416.0
2015-04-12 14:36:38,416.0
2015-04-12 14:36:39,416.0
2015-04-12 14:36:40,416.0
2015-04-12 14:36:41,416.0
2015-04-12 14:36:42,416.0
2015-04-12 14:36:43,416.0
2015-04-12 14:36:44,416.0
2015-04-12 14:36:45,416.0
2015-04-12 14:36:46,416.0
2015-04-12 14:36:47,416.0
2015-04-12 14:36:48,415.0
2015-04-12 14:36:49,415.0
2015-04-12 14:36:50,415.0
2015-04-12 14:36:51,415.0
2015-04-12 14:36:52,415.0
2015-04-12 14:36:53,415.0
2015-04-12 14:36:54,415.0
2015-04-12 14:36:55,415.0
2015-04-12 14:36:56,415.0
2015-04-12 14:36:57,415.0
2015-04-12 14:36:58,414.5
2015-04-12 14:36:59,414.0
2015-04-12 14:37:00,414.0
2015-04-12 14:37:01,414.0
2015-04-12 14:37:02,414.0
2015-04-12 14:37:03,414.0
2015-04-12 14:37:04,414.0
