,co2dil_CO2ppm
2015-04-12 14:33:21,438.0
2015-04-12 14:33:22,437.45
2015-04-12 14:33:23,436.9
2015-04-12 14:33:24,433.9
2015-04-12 14:33:25,422.25
2015-04-12 14:33:26,410.6
2015-04-12 14:33:27,367.5
2015-04-12 14:33:28,355.15
2015-04-12 14:33:29,342.8
2015-04-12 14:33:30,328.9
2015-04-12 14:33:31,326.55
2015-04-12 14:33:32,324.2
2015-04-12 14:33:33,322.733333333
2015-04-12 14:33:34,321.266666667
2015-04-12 14:33:35,319.8
2015-04-12 14:33:36,320.0
2015-04-12 14:33:37,331.3
2015-04-12 14:33:38,342.6
2015-04-12 14:33:39,385.0
2015-04-12 14:33:40,410.2
2015-04-12 14:33:41,435.4
2015-04-12 14:33:42,494.3
2015-04-12 14:33:43,521.1
2015-04-12 14:33:44,547.9
2015-04-12 14:33:45,596.2
2015-04-12 14:33:46,613.85
2015-04-12 14:33:47,631.5
2015-04-12 14:33:48,645.8
2015-04-12 14:33:49,646.65
2015-04-12 14:33:50,647.5
2015-04-12 14:33:51,649.0
2015-04-12 14:33:52,649.6
2015-04-12 14:33:53,650.2
2015-04-12 14:33:54,658.6
2015-04-12 14:33:55,663.833333333
2015-04-12 14:33:56,669.066666667
2015-04-12 14:33:57,674.3
2015-04-12 14:33:58,675.65
2015-04-12 14:33:59,677.0
2015-04-12 14:34:00,683.9
2015-04-12 14:34:01,686.3
2015-04-12 14:34:02,688.7
2015-04-12 14:34:03,692.3
2015-04-12 14:34:04,692.45
2015-04-12 14:34:05,692.6
2015-04-12 14:34:06,699.2
2015-04-12 14:34:07,704.8
2015-04-12 14:34:08,710.4
2015-04-12 14:34:09,754.3
2015-04-12 14:34:10,787.9
2015-04-12 14:34:11,821.5
2015-04-12 14:34:12,898.8
2015-04-12 14:34:13,948.5
2015-04-12 14:34:14,998.2
2015-04-12 14:34:15,1144.2
2015-04-12 14:34:16,1197.2
2015-04-12 14:34:17,1250.2
2015-04-12 14:34:18,1226.7
2015-04-12 14:34:19,1198.0
2015-04-12 14:34:20,1169.3
2015-04-12 14:34:21,1140.6
2015-04-12 14:34:22,1126.1
2015-04-12 14:34:23,1111.6
2015-04-12 14:34:24,1096.8
2015-04-12 14:34:25,1092.5
2015-04-12 14:34:26,1088.2
2015-04-12 14:34:27,1068.1
2015-04-12 14:34:28,1052.95
2015-04-12 14:34:29,1037.8
2015-04-12 14:34:30,976.9
2015-04-12 14:34:31,932.15
2015-04-12 14:34:32,887.4
2015-04-12 14:34:33,792.1
2015-04-12 14:34:34,752.4
2015-04-12 14:34:35,712.7
2015-04-12 14:34:36,664.9
2015-04-12 14:34:37,656.1
2015-04-12 14:34:38,647.3
2015-04-12 14:34:39,646.9
2015-04-12 14:34:40,647.85
2015-04-12 14:34:41,648.8
2015-04-12 14:34:42,657.6
2015-04-12 14:34:43,658.066666667
2015-04-12 14:34:44,658.533333333
2015-04-12 14:34:45,659.0
2015-04-12 14:34:46,657.7
2015-04-12 14:34:47,656.4
2015-04-12 14:34:48,609.7
2015-04-12 14:34:49,567.2
2015-04-12 14:34:50,524.7
2015-04-12 14:34:51,457.0
2015-04-12 14:34:52,443.4
2015-04-12 14:34:53,429.8
2015-04-12 14:34:54,416.1
2015-04-12 14:34:55,409.65
2015-04-12 14:34:56,403.2
2015-04-12 14:34:57,389.4
2015-04-12 14:34:58,384.9
2015-04-12 14:34:59,380.4
2015-04-12 14:35:00,363.7
2015-04-12 14:35:01,357.45
2015-04-12 14:35:02,351.2
2015-04-12 14:35:03,345.0
2015-04-12 14:35:04,341.05
2015-04-12 14:35:05,337.1
2015-04-12 14:35:06,336.3
2015-04-12 14:35:07,336.433333333
2015-04-12 14:35:08,336.566666667
2015-04-12 14:35:09,336.7
2015-04-12 14:35:10,340.25
2015-04-12 14:35:11,343.8
2015-04-12 14:35:12,360.9
2015-04-12 14:35:13,375.2
2015-04-12 14:35:14,389.5
2015-04-12 14:35:15,438.6
2015-04-12 14:35:16,477.8
2015-04-12 14:35:17,517.0
2015-04-12 14:35:18,596.4
2015-04-12 14:35:19,627.5
2015-04-12 14:35:20,658.6
2015-04-12 14:35:21,705.3
2015-04-12 14:35:22,732.6
2015-04-12 14:35:23,759.9
2015-04-12 14:35:24,800.3
2015-04-12 14:35:25,817.3
2015-04-12 14:35:26,834.3
2015-04-12 14:35:27,833.9
2015-04-12 14:35:28,808.35
2015-04-12 14:35:29,782.8
2015-04-12 14:35:30,724.9
2015-04-12 14:35:31,706.6
2015-04-12 14:35:32,688.3
2015-04-12 14:35:33,670.0
2015-04-12 14:35:34,649.0
2015-04-12 14:35:35,628.0
2015-04-12 14:35:36,596.3
2015-04-12 14:35:37,581.4
2015-04-12 14:35:38,566.5
2015-04-12 14:35:39,537.1
2015-04-12 14:35:40,527.7
2015-04-12 14:35:41,518.3
2015-04-12 14:35:42,501.8
2015-04-12 14:35:43,498.0
2015-04-12 14:35:44,494.2
2015-04-12 14:35:45,493.1
2015-04-12 14:35:46,493.0
2015-04-12 14:35:47,492.9
2015-04-12 14:35:48,493.0
2015-04-12 14:35:49,491.15
2015-04-12 14:35:50,489.3
2015-04-12 14:35:51,488.5
2015-04-12 14:35:52,488.35
2015-04-12 14:35:53,488.2
2015-04-12 14:35:54,480.7
2015-04-12 14:35:55,475.166666667
2015-04-12 14:35:56,469.633333333
2015-04-12 14:35:57,464.1
2015-04-12 14:35:58,458.55
2015-04-12 14:35:59,453.0
2015-04-12 14:36:00,446.1
2015-04-12 14:36:01,442.7
2015-04-12 14:36:02,439.3
2015-04-12 14:36:03,433.0
2015-04-12 14:36:04,432.35
2015-04-12 14:36:05,431.7
2015-04-12 14:36:06,430.6
2015-04-12 14:36:07,430.55
2015-04-12 14:36:08,430.5
2015-04-12 14:36:09,430.6
2015-04-12 14:36:10,432.75
2015-04-12 14:36:11,434.9
2015-04-12 14:36:12,452.1
2015-04-12 14:36:13,451.7
2015-04-12 14:36:14,451.3
2015-04-12 14:36:15,446.8
2015-04-12 14:36:16,444.9
2015-04-12 14:36:17,443.0
2015-04-12 14:36:18,442.9
2015-04-12 14:36:19,443.433333333
2015-04-12 14:36:20,443.966666667
2015-04-12 14:36:21,444.5
2015-04-12 14:36:22,443.85
2015-04-12 14:36:23,443.2
2015-04-12 14:36:24,431.5
2015-04-12 14:36:25,426.4
2015-04-12 14:36:26,421.3
2015-04-12 14:36:27,417.0
2015-04-12 14:36:28,416.9
2015-04-12 14:36:29,416.8
2015-04-12 14:36:30,418.4
2015-04-12 14:36:31,425.4
2015-04-12 14:36:32,432.4
2015-04-12 14:36:33,433.0
2015-04-12 14:36:34,434.75
2015-04-12 14:36:35,436.5
2015-04-12 14:36:36,446.4
2015-04-12 14:36:37,447.15
2015-04-12 14:36:38,447.9
2015-04-12 14:36:39,446.4
2015-04-12 14:36:40,443.45
2015-04-12 14:36:41,440.5
2015-04-12 14:36:42,429.7
2015-04-12 14:36:43,427.633333333
2015-04-12 14:36:44,425.566666667
2015-04-12 14:36:45,423.5
2015-04-12 14:36:46,423.85
2015-04-12 14:36:47,424.2
2015-04-12 14:36:48,426.7
2015-04-12 14:36:49,426.3
2015-04-12 14:36:50,425.9
2015-04-12 14:36:51,425.2
2015-04-12 14:36:52,424.9
2015-04-12 14:36:53,424.6
2015-04-12 14:36:54,424.1
2015-04-12 14:36:55,427.45
2015-04-12 14:36:56,430.8
2015-04-12 14:36:57,431.8
2015-04-12 14:36:58,432.2
2015-04-12 14:36:59,432.6
2015-04-12 14:37:00,432.8
2015-04-12 14:37:01,433.05
2015-04-12 14:37:02,433.3
2015-04-12 14:37:03,433.4
2015-04-12 14:37:04,432.6
2015-04-12 14:37:05,431.8
2015-04-12 14:37:06,426.8
2015-04-12 14:37:07,422.066666667
2015-04-12 14:37:08,417.333333333
2015-04-12 14:37:09,412.6
2015-04-12 14:37:10,408.2
2015-04-12 14:37:11,403.8
2015-04-12 14:37:12,402.1
2015-04-12 14:37:13,401.3
2015-04-12 14:37:14,400.5
2015-04-12 14:37:15,400.6
2015-04-12 14:37:16,400.4
2015-04-12 14:37:17,400.2
