,co2tpi_CO2ppm
2015-04-12 14:33:21,1154.9
2015-04-12 14:33:22,1105.4
2015-04-12 14:33:23,1055.9
2015-04-12 14:33:24,925.1
2015-04-12 14:33:25,883.05
2015-04-12 14:33:26,841.0
2015-04-12 14:33:27,734.7
2015-04-12 14:33:28,692.85
2015-04-12 14:33:29,651.0
2015-04-12 14:33:30,594.8
2015-04-12 14:33:31,568.85
2015-04-12 14:33:32,542.9
2015-04-12 14:33:33,519.2
2015-04-12 14:33:34,558.9
2015-04-12 14:33:35,598.6
2015-04-12 14:33:36,908.766666667
2015-04-12 14:33:37,1218.93333333
2015-04-12 14:33:38,1529.1
2015-04-12 14:33:39,3000.5
2015-04-12 14:33:40,3886.85
2015-04-12 14:33:41,4773.2
2015-04-12 14:33:42,6558.3
2015-04-12 14:33:43,7370.8
2015-04-12 14:33:44,8183.3
2015-04-12 14:33:45,9609.7
2015-04-12 14:33:46,10203.4
2015-04-12 14:33:47,10797.1
2015-04-12 14:33:48,11824.2
2015-04-12 14:33:49,12341.55
2015-04-12 14:33:50,12858.9
2015-04-12 14:33:51,13528.4
2015-04-12 14:33:52,13858.9
2015-04-12 14:33:53,14189.4
2015-04-12 14:33:54,14693.7
2015-04-12 14:33:55,14871.65
2015-04-12 14:33:56,15049.6
2015-04-12 14:33:57,15461.7
2015-04-12 14:33:58,15556.2
2015-04-12 14:33:59,15650.7
2015-04-12 14:34:00,15766.7333333
2015-04-12 14:34:01,15882.7666667
2015-04-12 14:34:02,15998.8
2015-04-12 14:34:03,16032.7
2015-04-12 14:34:04,16158.65
2015-04-12 14:34:05,16284.6
2015-04-12 14:34:06,16356.0
2015-04-12 14:34:07,16367.35
2015-04-12 14:34:08,16378.7
2015-04-12 14:34:09,16427.9
2015-04-12 14:34:10,16529.8
2015-04-12 14:34:11,16631.7
2015-04-12 14:34:12,16698.6
2015-04-12 14:34:13,16918.85
2015-04-12 14:34:14,17139.1
2015-04-12 14:34:15,19329.5
2015-04-12 14:34:16,20550.4
2015-04-12 14:34:17,21771.3
2015-04-12 14:34:18,23747.4
2015-04-12 14:34:19,24363.05
2015-04-12 14:34:20,24978.7
2015-04-12 14:34:21,26170.7
2015-04-12 14:34:22,26427.95
2015-04-12 14:34:23,26685.2
2015-04-12 14:34:24,26805.4333333
2015-04-12 14:34:25,26925.6666667
2015-04-12 14:34:26,27045.9
2015-04-12 14:34:27,27372.4
2015-04-12 14:34:28,27269.5
2015-04-12 14:34:29,27166.6
2015-04-12 14:34:30,25531.0
2015-04-12 14:34:31,24357.45
2015-04-12 14:34:32,23183.9
2015-04-12 14:34:33,20697.8
2015-04-12 14:34:34,19746.45
2015-04-12 14:34:35,18795.1
2015-04-12 14:34:36,17732.7
2015-04-12 14:34:37,17479.0
2015-04-12 14:34:38,17225.3
2015-04-12 14:34:39,17028.5
2015-04-12 14:34:40,16900.1
2015-04-12 14:34:41,16771.7
2015-04-12 14:34:42,16720.0
2015-04-12 14:34:43,16609.1
2015-04-12 14:34:44,16498.2
2015-04-12 14:34:45,16498.3
2015-04-12 14:34:46,16498.5
2015-04-12 14:34:47,16498.7
2015-04-12 14:34:48,16494.4666667
2015-04-12 14:34:49,16490.2333333
2015-04-12 14:34:50,16486.0
2015-04-12 14:34:51,16499.4
2015-04-12 14:34:52,15949.5
2015-04-12 14:34:53,15399.6
2015-04-12 14:34:54,12875.0
2015-04-12 14:34:55,11727.0
2015-04-12 14:34:56,10579.0
2015-04-12 14:34:57,8856.6
2015-04-12 14:34:58,8135.45
2015-04-12 14:34:59,7414.3
2015-04-12 14:35:00,6160.9
2015-04-12 14:35:01,5669.45
2015-04-12 14:35:02,5178.0
2015-04-12 14:35:03,4322.8
2015-04-12 14:35:04,3982.0
2015-04-12 14:35:05,3641.2
2015-04-12 14:35:06,3196.5
2015-04-12 14:35:07,3102.05
2015-04-12 14:35:08,3007.6
2015-04-12 14:35:09,2913.7
2015-04-12 14:35:10,2914.95
2015-04-12 14:35:11,2916.2
2015-04-12 14:35:12,3117.36666667
2015-04-12 14:35:13,3318.53333333
2015-04-12 14:35:14,3519.7
2015-04-12 14:35:15,4711.1
2015-04-12 14:35:16,5464.8
2015-04-12 14:35:17,6218.5
2015-04-12 14:35:18,7750.5
2015-04-12 14:35:19,8445.15
2015-04-12 14:35:20,9139.8
2015-04-12 14:35:21,10400.7
2015-04-12 14:35:22,11015.55
2015-04-12 14:35:23,11630.4
2015-04-12 14:35:24,12987.6
2015-04-12 14:35:25,13527.6
2015-04-12 14:35:26,14067.6
2015-04-12 14:35:27,14659.3
2015-04-12 14:35:28,14928.75
2015-04-12 14:35:29,15198.2
2015-04-12 14:35:30,15438.8
2015-04-12 14:35:31,15612.5
2015-04-12 14:35:32,15786.2
2015-04-12 14:35:33,15958.3
2015-04-12 14:35:34,16074.4
2015-04-12 14:35:35,16190.5
2015-04-12 14:35:36,16208.6666667
2015-04-12 14:35:37,16226.8333333
2015-04-12 14:35:38,16245.0
2015-04-12 14:35:39,16333.4
2015-04-12 14:35:40,16406.8
2015-04-12 14:35:41,16480.2
2015-04-12 14:35:42,16525.1
2015-04-12 14:35:43,16651.5
2015-04-12 14:35:44,16777.9
2015-04-12 14:35:45,16814.1
2015-04-12 14:35:46,16966.7
2015-04-12 14:35:47,17119.3
2015-04-12 14:35:48,17140.0
2015-04-12 14:35:49,17168.75
2015-04-12 14:35:50,17197.5
2015-04-12 14:35:51,17285.4
2015-04-12 14:35:52,17287.65
2015-04-12 14:35:53,17289.9
2015-04-12 14:35:54,17305.7
2015-04-12 14:35:55,17290.6
2015-04-12 14:35:56,17275.5
2015-04-12 14:35:57,17278.9
2015-04-12 14:35:58,17266.35
2015-04-12 14:35:59,17253.8
2015-04-12 14:36:00,17249.9333333
2015-04-12 14:36:01,17246.0666667
2015-04-12 14:36:02,17242.2
2015-04-12 14:36:03,17243.7
2015-04-12 14:36:04,17233.1
2015-04-12 14:36:05,17222.5
