,ae52_bc,ae52_uvpm,co2bg,co2dil,co2tpi,drx_pm2.5,et_eng_fuel_rate,et_eng_load,et_eng_rpm,hnu,lan_COppm,testo_CO2i,testo_COppm,testo_NO2ppm,testo_NOppm,testo_SO2ppm,velocity,vim_eng_fuel_rate,vim_eng_load,vim_eng_rpm
ae52_bc,1.0,0.856267627942,-0.066531492297,0.389801799262,0.459950326391,0.507702185347,0.350403523402,0.32049574065,0.383060051984,0.0575982079761,0.340243447892,0.37083944849,-0.33044456891,0.276083630324,0.221811253338,0.0144852984584,0.305673307092,0.357039177288,0.324721578698,0.374284763375
ae52_uvpm,0.856267627942,1.0,-0.142883957196,0.11178812307,0.178155025359,0.308530674254,0.105864096943,0.0913372923317,0.176928705078,-0.0919170715347,0.0779355586276,0.0931962797629,-0.258682532819,0.0460138040345,0.00439025973676,-0.00147781474035,0.0933585113758,0.115640640658,0.096139410777,0.17392552356
co2bg,-0.066531492297,-0.142883957196,1.0,0.495397371294,0.340723296738,0.0504962667541,0.403715192367,0.416536717679,0.131950783918,0.592108078135,0.569154369757,0.500199451376,0.342976804087,0.486104401031,0.555021228012,-0.00258523174571,-0.0605786515528,0.391435575017,0.405003402745,0.120966112647
co2dil,0.389801799262,0.11178812307,0.495397371294,1.0,0.860642631337,0.437166898858,0.880578860474,0.862766016517,0.558275874129,0.799529331413,0.901162971116,0.971588975608,-0.103796195659,0.94255184454,0.94386080145,0.0440382403004,0.398917277694,0.830533795767,0.810075476538,0.535497085699
co2tpi,0.459950326391,0.178155025359,0.340723296738,0.860642631337,1.0,0.516474009293,0.799867207999,0.781285144982,0.615469761824,0.626039520654,0.83867901073,0.858175410807,-0.237369899123,0.773274681113,0.758963267626,0.0278540761219,0.453518338944,0.759924179492,0.735441280133,0.595607845014
drx_pm2.5,0.507702185347,0.308530674254,0.0504962667541,0.437166898858,0.516474009293,1.0,0.433600069647,0.408469795784,0.506348240558,0.0721085998446,0.384959561546,0.402568291543,-0.280923031414,0.258207422281,0.254698560972,-0.000160305129403,0.355133859328,0.385021175462,0.3416378609,0.449079732392
et_eng_fuel_rate,0.350403523402,0.105864096943,0.403715192367,0.880578860474,0.799867207999,0.433600069647,1.0,0.922949812352,0.551919846612,0.681290542974,0.822773051779,0.846657286231,-0.138703991675,0.809806623147,0.80695966055,0.0380085249494,0.3874724175,0.771192549368,0.751186905353,0.54157220406
et_eng_load,0.32049574065,0.0913372923317,0.416536717679,0.862766016517,0.781285144982,0.408469795784,0.922949812352,1.0,0.506990984805,0.680798245145,0.792116909774,0.825386045586,-0.103189237174,0.794010917619,0.801194559231,0.0378662132222,0.321760847727,0.749722685236,0.742853338314,0.486505627279
et_eng_rpm,0.383060051984,0.176928705078,0.131950783918,0.558275874129,0.615469761824,0.506348240558,0.551919846612,0.506990984805,1.0,0.373987791289,0.63471323285,0.571682280353,-0.494005089199,0.496766174027,0.46229253782,0.0192330043916,0.682089887925,0.532158121886,0.467345326696,0.91267815648
hnu,0.0575982079761,-0.0919170715347,0.592108078135,0.799529331413,0.626039520654,0.0721085998446,0.681290542974,0.680798245145,0.373987791289,1.0,0.786426027813,0.808650186128,0.0595747765529,0.883063757391,0.88733189307,0.0209687435077,0.218189882601,0.66720296583,0.665510329983,0.365603538506
lan_COppm,0.340243447892,0.0779355586276,0.569154369757,0.901162971116,0.83867901073,0.384959561546,0.822773051779,0.792116909774,0.63471323285,0.786426027813,1.0,0.91223736526,-0.17557665175,0.857422362793,0.852612422027,0.0330685515991,0.502187738324,0.823274466366,0.794130354277,0.63379308913
testo_CO2i,0.37083944849,0.0931962797629,0.500199451376,0.971588975608,0.858175410807,0.402568291543,0.846657286231,0.825386045586,0.571682280353,0.808650186128,0.91223736526,1.0,-0.105846398481,0.944624475807,0.928838354352,0.0438945705402,0.417108852204,0.814298495261,0.790467749344,0.5479363712
testo_COppm,-0.33044456891,-0.258682532819,0.342976804087,-0.103796195659,-0.237369899123,-0.280923031414,-0.138703991675,-0.103189237174,-0.494005089199,0.0595747765529,-0.17557665175,-0.105846398481,1.0,-0.0326673791421,0.00838462949252,-0.0220278544778,-0.584680577058,-0.145257966091,-0.104851254763,-0.494189691243
testo_NO2ppm,0.276083630324,0.0460138040345,0.486104401031,0.94255184454,0.773274681113,0.258207422281,0.809806623147,0.794010917619,0.496766174027,0.883063757391,0.857422362793,0.944624475807,-0.0326673791421,1.0,0.964213845393,0.0511059728455,0.342751351863,0.783869984024,0.768831963047,0.476962143366
testo_NOppm,0.221811253338,0.00439025973676,0.555021228012,0.94386080145,0.758963267626,0.254698560972,0.80695966055,0.801194559231,0.46229253782,0.88733189307,0.852612422027,0.928838354352,0.00838462949252,0.964213845393,1.0,0.0502246140855,0.300964032094,0.774248247676,0.766750419802,0.443960923758
testo_SO2ppm,0.0144852984584,-0.00147781474035,-0.00258523174571,0.0440382403004,0.0278540761219,-0.000160305129403,0.0380085249494,0.0378662132222,0.0192330043916,0.0209687435077,0.0330685515991,0.0438945705402,-0.0220278544778,0.0511059728455,0.0502246140855,1.0,0.0188430326378,0.0378549672104,0.037837896721,0.0162482221593
velocity,0.305673307092,0.0933585113758,-0.0605786515528,0.398917277694,0.453518338944,0.355133859328,0.3874724175,0.321760847727,0.682089887925,0.218189882601,0.502187738324,0.417108852204,-0.584680577058,0.342751351863,0.300964032094,0.0188430326378,1.0,0.387743452607,0.322296471402,0.684313463001
vim_eng_fuel_rate,0.357039177288,0.115640640658,0.391435575017,0.830533795767,0.759924179492,0.385021175462,0.771192549368,0.749722685236,0.532158121886,0.66720296583,0.823274466366,0.814298495261,-0.145257966091,0.783869984024,0.774248247676,0.0378549672104,0.387743452607,1.0,0.988865701437,0.559304868353
vim_eng_load,0.324721578698,0.096139410777,0.405003402745,0.810075476538,0.735441280133,0.3416378609,0.751186905353,0.742853338314,0.467345326696,0.665510329983,0.794130354277,0.790467749344,-0.104851254763,0.768831963047,0.766750419802,0.037837896721,0.322296471402,0.988865701437,1.0,0.494742560535
vim_eng_rpm,0.374284763375,0.17392552356,0.120966112647,0.535497085699,0.595607845014,0.449079732392,0.54157220406,0.486505627279,0.91267815648,0.365603538506,0.63379308913,0.5479363712,-0.494189691243,0.476962143366,0.443960923758,0.0162482221593,0.684313463001,0.559304868353,0.494742560535,1.0
