,drxPM1,drxPM10,drxPM2.5,drxPM4,drxTPM
2015-04-12 14:33:22,0.0,0.0,0.0,0.0,0.0
2015-04-12 14:33:23,0.0,0.0,0.0,0.0,0.0
2015-04-12 14:33:24,0.011,0.011,0.011,0.011,0.011
2015-04-12 14:33:25,0.011,0.011,0.011,0.011,0.011
2015-04-12 14:33:26,0.011,0.011,0.011,0.011,0.011
2015-04-12 14:33:27,0.012,0.012,0.012,0.012,0.012
2015-04-12 14:33:28,0.018,0.018,0.018,0.018,0.018
2015-04-12 14:33:29,0.032,0.033,0.032,0.033,0.033
2015-04-12 14:33:30,0.072,0.072,0.072,0.072,0.072
2015-04-12 14:33:31,0.137,0.137,0.137,0.137,0.137
2015-04-12 14:33:32,0.203,0.203,0.203,0.203,0.203
2015-04-12 14:33:33,0.29,0.29,0.29,0.29,0.29
2015-04-12 14:33:34,0.364,0.365,0.364,0.365,0.365
2015-04-12 14:33:35,0.429,0.43,0.429,0.43,0.43
2015-04-12 14:33:36,0.481,0.481,0.481,0.481,0.481
2015-04-12 14:33:37,0.552,0.553,0.552,0.553,0.553
2015-04-12 14:33:38,0.606,0.606,0.606,0.606,0.606
2015-04-12 14:33:39,0.651,0.651,0.651,0.651,0.651
2015-04-12 14:33:40,0.69,0.691,0.691,0.691,0.691
2015-04-12 14:33:41,0.728,0.728,0.728,0.728,0.728
2015-04-12 14:33:42,0.72,0.721,0.721,0.721,0.721
2015-04-12 14:33:43,0.7,0.7,0.7,0.7,0.7
2015-04-12 14:33:44,0.657,0.658,0.658,0.658,0.658
2015-04-12 14:33:45,0.628,0.629,0.629,0.629,0.629
2015-04-12 14:33:46,0.643,0.644,0.644,0.644,0.644
2015-04-12 14:33:47,0.628,0.628,0.628,0.628,0.628
2015-04-12 14:33:48,0.624,0.624,0.624,0.624,0.624
2015-04-12 14:33:49,0.645,0.645,0.645,0.645,0.645
2015-04-12 14:33:50,0.676,0.677,0.676,0.677,0.677
2015-04-12 14:33:51,0.703,0.703,0.703,0.703,0.703
2015-04-12 14:33:52,0.756,0.756,0.756,0.756,0.756
2015-04-12 14:33:53,0.719,0.72,0.72,0.72,0.72
2015-04-12 14:33:54,0.702,0.702,0.702,0.702,0.702
2015-04-12 14:33:55,0.74,0.74,0.74,0.74,0.74
2015-04-12 14:33:56,0.737,0.737,0.737,0.737,0.737
2015-04-12 14:33:57,0.712,0.712,0.712,0.712,0.712
2015-04-12 14:33:58,0.737,0.737,0.737,0.737,0.737
2015-04-12 14:33:59,0.743,0.743,0.743,0.743,0.743
2015-04-12 14:34:00,0.704,0.704,0.704,0.704,0.704
2015-04-12 14:34:01,0.719,0.719,0.719,0.719,0.719
2015-04-12 14:34:02,0.796,0.796,0.796,0.796,0.796
2015-04-12 14:34:03,0.8,0.8,0.8,0.8,0.8
2015-04-12 14:34:04,0.783,0.783,0.783,0.783,0.783
2015-04-12 14:34:05,0.919,0.92,0.92,0.92,0.92
2015-04-12 14:34:06,1.04,1.04,1.04,1.04,1.04
2015-04-12 14:34:07,1.19,1.19,1.19,1.19,1.19
2015-04-12 14:34:08,1.37,1.37,1.37,1.37,1.37
2015-04-12 14:34:09,1.71,1.71,1.71,1.71,1.71
2015-04-12 14:34:10,2.08,2.08,2.08,2.08,2.08
