,flDPI_Flow,flFP1_Flow,flFP2_Flow,flPressure1_kPa,flPressure2_kPa,flPressure4_kPa,flPressure5_kPa,flTemp1_F,flTemp2_F,flTemp4_F,flTemp5_F,flVPO_Flow
2015-04-12 14:33:20,31.43,2.803,2.212,101.3,101.3,101.3,96.7,20.78,21.34,20.17,32.42,18.468
2015-04-12 14:33:21,31.9,6.905,7.526,101.3,101.3,101.3,96.21,20.46,20.75,20.12,32.39,14.307
2015-04-12 14:33:22,31.56,7.348,7.726,101.3,101.3,101.3,96.14,20.48,20.75,20.19,32.41,11.526
2015-04-12 14:33:23,31.53,7.587,7.874,101.3,101.3,101.3,96.22,20.47,20.74,20.19,32.42,10.439
2015-04-12 14:33:24,31.63,7.927,7.891,101.3,101.3,101.3,96.22,20.46,20.75,20.16,32.42,10.256
2015-04-12 14:33:25,31.58,7.922,7.954,101.3,101.3,101.3,96.25,20.47,20.75,20.16,32.43,10.347
2015-04-12 14:33:26,31.51,7.905,7.892,101.3,101.3,101.3,96.33,20.48,20.77,20.17,32.41,9.705
2015-04-12 14:33:27,31.57,7.921,7.897,101.3,101.3,101.3,96.24,20.48,20.77,20.16,32.38,10.328
2015-04-12 14:33:28,31.54,7.851,7.982,101.3,101.3,101.3,96.24,20.48,20.78,20.17,32.41,9.845
2015-04-12 14:33:29,31.55,7.933,8.044,101.3,101.3,101.3,96.23,20.48,20.77,20.16,32.37,9.933
2015-04-12 14:33:30,31.48,7.964,8.033,101.3,101.3,101.3,96.27,20.49,20.77,20.16,32.39,9.896
2015-04-12 14:33:31,31.56,7.945,7.943,101.3,101.3,101.3,96.26,20.49,20.78,20.14,32.39,10.257
2015-04-12 14:33:32,31.45,7.933,8.04,101.3,101.3,101.3,96.27,20.5,20.78,20.17,32.39,9.545
2015-04-12 14:33:33,31.58,7.956,7.992,101.3,101.3,101.3,96.25,20.49,20.79,20.14,32.43,10.23
2015-04-12 14:33:34,31.54,7.966,7.983,101.3,101.3,101.3,96.21,20.5,20.8,20.15,32.4,10.004
2015-04-12 14:33:35,31.55,7.942,8.007,101.3,101.3,101.3,96.22,20.51,20.8,20.15,32.4,10.071
