,gps_elevation,gps_latitude,gps_longitude,gps_velocity
2015-04-12 14:33:20,10.4,5702.8241,11142.1088,0.0
2015-04-12 14:33:21,10.5513513514,5702.82406351,11142.1087791,0.0
2015-04-12 14:33:22,10.7027027027,5702.82402703,11142.1087581,0.0
2015-04-12 14:33:23,10.8540540541,5702.82399054,11142.1087372,0.0
2015-04-12 14:33:24,11.0054054054,5702.82395405,11142.1087162,0.0
2015-04-12 14:33:25,11.1567567568,5702.82391757,11142.1086953,0.0
2015-04-12 14:33:26,11.3081081081,5702.82388108,11142.1086743,0.0
2015-04-12 14:33:27,11.4594594595,5702.82384459,11142.1086534,0.0
2015-04-12 14:33:28,11.6108108108,5702.82380811,11142.1086324,0.0
2015-04-12 14:33:29,11.7621621622,5702.82377162,11142.1086115,0.0
2015-04-12 14:33:30,11.9135135135,5702.82373514,11142.1085905,0.0
2015-04-12 14:33:31,12.0648648649,5702.82369865,11142.1085696,0.0
2015-04-12 14:33:32,12.2162162162,5702.82366216,11142.1085486,0.0
2015-04-12 14:33:33,12.3675675676,5702.82362568,11142.1085277,0.0
2015-04-12 14:33:34,12.5189189189,5702.82358919,11142.1085068,0.0
2015-04-12 14:33:35,12.6702702703,5702.8235527,11142.1084858,0.0
2015-04-12 14:33:36,12.8216216216,5702.82351622,11142.1084649,0.0
2015-04-12 14:33:37,12.972972973,5702.82347973,11142.1084439,0.0
2015-04-12 14:33:38,13.1243243243,5702.82344324,11142.108423,0.0
2015-04-12 14:33:39,13.2756756757,5702.82340676,11142.108402,0.0
2015-04-12 14:33:40,13.427027027,5702.82337027,11142.1083811,0.0
2015-04-12 14:33:41,13.5783783784,5702.82333378,11142.1083601,0.0
2015-04-12 14:33:42,13.7297297297,5702.8232973,11142.1083392,0.0
2015-04-12 14:33:43,13.8810810811,5702.82326081,11142.1083182,0.0
2015-04-12 14:33:44,14.0324324324,5702.82322432,11142.1082973,0.0
2015-04-12 14:33:45,14.1837837838,5702.82318784,11142.1082764,0.0
2015-04-12 14:33:46,14.3351351351,5702.82315135,11142.1082554,0.0
2015-04-12 14:33:47,14.4864864865,5702.82311486,11142.1082345,0.0
2015-04-12 14:33:48,14.6378378378,5702.82307838,11142.1082135,0.0
2015-04-12 14:33:49,14.7891891892,5702.82304189,11142.1081926,0.0
2015-04-12 14:33:50,14.9405405405,5702.82300541,11142.1081716,0.0
2015-04-12 14:33:51,15.0918918919,5702.82296892,11142.1081507,0.0
2015-04-12 14:33:52,15.2432432432,5702.82293243,11142.1081297,0.0
2015-04-12 14:33:53,15.3945945946,5702.82289595,11142.1081088,0.0
2015-04-12 14:33:54,15.5459459459,5702.82285946,11142.1080878,0.0
2015-04-12 14:33:55,15.6972972973,5702.82282297,11142.1080669,0.0
2015-04-12 14:33:56,15.8486486486,5702.82278649,11142.1080459,0.0
2015-04-12 14:33:57,16.0,5702.82275,11142.108025,0.0
2015-04-12 14:33:58,16.1513513514,5702.82271351,11142.1080041,0.0
2015-04-12 14:33:59,16.3027027027,5702.82267703,11142.1079831,0.0
2015-04-12 14:34:00,16.4540540541,5702.82264054,11142.1079622,0.0
2015-04-12 14:34:01,16.6054054054,5702.82260405,11142.1079412,0.0
2015-04-12 14:34:02,16.7567567568,5702.82256757,11142.1079203,0.0
2015-04-12 14:34:03,16.9081081081,5702.82253108,11142.1078993,0.0
2015-04-12 14:34:04,17.0594594595,5702.82249459,11142.1078784,0.0
2015-04-12 14:34:05,17.2108108108,5702.82245811,11142.1078574,0.0
2015-04-12 14:34:06,17.3621621622,5702.82242162,11142.1078365,0.0
2015-04-12 14:34:07,17.5135135135,5702.82238514,11142.1078155,0.0
2015-04-12 14:34:08,17.6648648649,5702.82234865,11142.1077946,0.0
2015-04-12 14:34:09,17.8162162162,5702.82231216,11142.1077736,0.0
2015-04-12 14:34:10,17.9675675676,5702.82227568,11142.1077527,0.0
