,gps2_elevation,gps2_latitude,gps2_longitude,gps2_velocity
2015-04-12 14:33:20,266.4,5702.8241,11142.1088,1.0
2015-04-12 14:33:21,266.4,5702.8241,11142.1087,1.0
2015-04-12 14:33:22,266.3,5702.8242,11142.1087,1.0
2015-04-12 14:33:23,266.3,5702.8243,11142.1086,1.1
2015-04-12 14:33:24,266.3,5702.8244,11142.1085,1.0
2015-04-12 14:33:25,266.3,5702.8244,11142.1084,1.0
2015-04-12 14:33:26,266.2,5702.8245,11142.1083,1.1
2015-04-12 14:33:27,266.2,5702.8246,11142.1082,1.1
2015-04-12 14:33:28,266.2,5702.8247,11142.1081,1.1
2015-04-12 14:33:29,266.2,5702.8248,11142.1079,1.1
2015-04-12 14:33:30,266.1,5702.8249,11142.1078,1.1
2015-04-12 14:33:31,266.1,5702.825,11142.1077,1.1
2015-04-12 14:33:32,266.1,5702.8251,11142.1075,1.1
2015-04-12 14:33:33,266.1,5702.8252,11142.1074,1.1
2015-04-12 14:33:34,266.1,5702.8253,11142.1072,1.1
2015-04-12 14:33:35,266.1,5702.8254,11142.1071,1.1
2015-04-12 14:33:36,266.1,5702.8256,11142.1069,1.1
2015-04-12 14:33:37,266.1,5702.8257,11142.1068,1.1
2015-04-12 14:33:38,266.1,5702.8258,11142.1067,1.1
2015-04-12 14:33:39,266.1,5702.8259,11142.1065,1.1
2015-04-12 14:33:40,266.1,5702.8261,11142.1064,1.0
2015-04-12 14:33:41,266.1,5702.8262,11142.1063,1.0
2015-04-12 14:33:42,266.1,5702.8263,11142.1062,1.0
2015-04-12 14:33:43,266.1,5702.8265,11142.1061,1.0
2015-04-12 14:33:44,266.1,5702.8266,11142.106,1.0
2015-04-12 14:33:45,266.1,5702.8267,11142.1059,1.0
2015-04-12 14:33:46,266.1,5702.8268,11142.1057,1.0
2015-04-12 14:33:47,266.1,5702.8269,11142.1056,1.0
2015-04-12 14:33:48,266.2,5702.8269,11142.1055,1.0
2015-04-12 14:33:49,266.2,5702.827,11142.1054,1.0
2015-04-12 14:33:50,266.2,5702.827,11142.1054,1.0
2015-04-12 14:33:51,266.2,5702.8271,11142.1053,1.0
2015-04-12 14:33:52,266.3,5702.8271,11142.1052,1.0
2015-04-12 14:33:53,266.3,5702.8271,11142.1052,1.0
2015-04-12 14:33:54,266.3,5702.8271,11142.1051,1.0
2015-04-12 14:33:55,266.3,5702.8271,11142.1051,1.0
2015-04-12 14:33:56,266.4,5702.8271,11142.1051,1.1
2015-04-12 14:33:57,266.4,5702.8271,11142.1051,1.1
2015-04-12 14:33:58,266.4,5702.8271,11142.1052,1.1
2015-04-12 14:33:59,266.5,5702.827,11142.1052,1.0
2015-04-12 14:34:00,266.5,5702.827,11142.1053,1.0
2015-04-12 14:34:01,266.6,5702.8269,11142.1054,1.0
2015-04-12 14:34:02,266.6,5702.8269,11142.1055,1.1
2015-04-12 14:34:03,266.7,5702.8268,11142.1057,1.1
2015-04-12 14:34:04,266.7,5702.8267,11142.1058,1.1
2015-04-12 14:34:05,266.8,5702.8266,11142.106,1.1
2015-04-12 14:34:06,266.9,5702.8265,11142.1061,1.1
2015-04-12 14:34:07,266.9,5702.8263,11142.1063,1.1
2015-04-12 14:34:08,267.1,5702.826,11142.1069,1.1
2015-04-12 14:34:09,267.5,5702.8255,11142.1076,1.1
2015-04-12 14:34:10,267.7,5702.8253,11142.1081,1.1
2015-04-12 14:34:11,267.7,5702.8252,11142.1084,1.1
2015-04-12 14:34:12,268.0,5702.8246,11142.1093,1.1
2015-04-12 14:34:13,268.4,5702.8238,11142.1105,1.1
2015-04-12 14:34:14,268.8,5702.8234,11142.1108,1.1
2015-04-12 14:34:15,268.9,5702.8229,11142.1116,1.2
2015-04-12 14:34:16,268.8,5702.8226,11142.1117,1.2
2015-04-12 14:34:17,269.0,5702.8222,11142.1116,1.2
2015-04-12 14:34:18,269.3,5702.822,11142.1119,1.2
2015-04-12 14:34:19,269.4,5702.8218,11142.1119,1.2
2015-04-12 14:34:20,269.7,5702.8213,11142.1126,1.2
2015-04-12 14:34:21,270.0,5702.8211,11142.113,1.2
2015-04-12 14:34:22,270.2,5702.8208,11142.1134,1.2
2015-04-12 14:34:23,270.7,5702.8206,11142.1135,1.0
2015-04-12 14:34:24,271.0,5702.8205,11142.1138,1.0
2015-04-12 14:34:25,271.2,5702.8204,11142.1141,1.0
2015-04-12 14:34:26,271.3,5702.8201,11142.1144,1.0
2015-04-12 14:34:27,271.5,5702.8197,11142.1144,1.0
2015-04-12 14:34:28,271.6,5702.8195,11142.1145,1.0
2015-04-12 14:34:29,271.7,5702.8193,11142.1145,1.0
2015-04-12 14:34:30,271.9,5702.819,11142.1151,1.0
2015-04-12 14:34:31,272.0,5702.8187,11142.1156,1.0
2015-04-12 14:34:32,272.2,5702.8189,11142.115,1.0
2015-04-12 14:34:33,272.4,5702.8191,11142.1145,1.0
2015-04-12 14:34:34,272.6,5702.8192,11142.1144,1.0
2015-04-12 14:34:35,272.9,5702.8193,11142.1143,1.0
2015-04-12 14:34:36,272.9,5702.8192,11142.1144,1.0
2015-04-12 14:34:37,273.0,5702.8191,11142.1145,1.0
2015-04-12 14:34:38,273.1,5702.8191,11142.1145,1.0
2015-04-12 14:34:39,273.2,5702.819,11142.1146,1.0
2015-04-12 14:34:40,273.3,5702.8189,11142.1146,1.0
2015-04-12 14:34:41,273.4,5702.8188,11142.1147,1.0
2015-04-12 14:34:42,273.5,5702.8188,11142.1147,1.0
2015-04-12 14:34:43,273.6,5702.8187,11142.1148,1.0
2015-04-12 14:34:44,273.7,5702.8187,11142.1148,1.0
2015-04-12 14:34:45,273.8,5702.8187,11142.1148,1.0
2015-04-12 14:34:46,273.9,5702.8187,11142.1147,1.0
2015-04-12 14:34:47,274.0,5702.8186,11142.1147,1.0
2015-04-12 14:34:48,274.1,5702.8187,11142.1146,1.0
2015-04-12 14:34:49,274.2,5702.8187,11142.1145,1.0
2015-04-12 14:34:50,274.4,5702.8187,11142.1143,1.0
2015-04-12 14:34:51,274.5,5702.8188,11142.1142,1.0
2015-04-12 14:34:52,274.6,5702.8188,11142.1141,1.0
2015-04-12 14:34:53,274.7,5702.8189,11142.1141,1.0
2015-04-12 14:34:54,274.8,5702.8189,11142.1141,1.0
2015-04-12 14:34:55,275.0,5702.8189,11142.1141,1.0
2015-04-12 14:34:56,275.1,5702.819,11142.114,1.0
2015-04-12 14:34:57,275.2,5702.819,11142.114,1.0
2015-04-12 14:34:58,275.4,5702.819,11142.114,1.0
2015-04-12 14:34:59,275.5,5702.8191,11142.114,1.0
2015-04-12 14:35:00,275.6,5702.8191,11142.114,1.0
2015-04-12 14:35:01,275.8,5702.8191,11142.1139,1.0
2015-04-12 14:35:02,275.9,5702.819,11142.1138,1.0
2015-04-12 14:35:03,276.0,5702.819,11142.1137,1.0
2015-04-12 14:35:04,276.0,5702.819,11142.1136,1.0
2015-04-12 14:35:05,276.0,5702.819,11142.1136,1.0
2015-04-12 14:35:06,276.0,5702.819,11142.1136,1.0
2015-04-12 14:35:07,276.0,5702.819,11142.1136,1.0
2015-04-12 14:35:08,276.0,5702.819,11142.1135,1.0
2015-04-12 14:35:09,276.0,5702.819,11142.1135,1.0
2015-04-12 14:35:10,276.0,5702.819,11142.1135,1.0
2015-04-12 14:35:11,276.0,5702.819,11142.1135,1.0
2015-04-12 14:35:12,276.0,5702.819,11142.1134,1.0
2015-04-12 14:35:13,276.0,5702.819,11142.1134,1.2
2015-04-12 14:35:14,276.0,5702.8191,11142.1133,1.2
2015-04-12 14:35:15,276.0,5702.8192,11142.1131,1.2
2015-04-12 14:35:16,276.3,5702.8192,11142.1127,1.2
2015-04-12 14:35:17,276.5,5702.8189,11142.1118,1.2
2015-04-12 14:35:18,276.8,5702.819,11142.1118,1.2
2015-04-12 14:35:19,276.7,5702.8183,11142.1111,1.2
2015-04-12 14:35:20,276.7,5702.8182,11142.1113,1.2
2015-04-12 14:35:21,276.6,5702.8183,11142.1113,1.1
2015-04-12 14:35:22,276.6,5702.8183,11142.1112,1.1
2015-04-12 14:35:23,276.6,5702.8184,11142.1111,1.1
2015-04-12 14:35:24,276.6,5702.8184,11142.111,1.1
2015-04-12 14:35:25,276.6,5702.8184,11142.1109,1.1
2015-04-12 14:35:26,276.6,5702.8185,11142.1107,1.0
2015-04-12 14:35:27,276.6,5702.8186,11142.1106,1.0
2015-04-12 14:35:28,276.6,5702.8186,11142.1105,1.0
2015-04-12 14:35:29,276.6,5702.8186,11142.1104,1.0
2015-04-12 14:35:30,276.6,5702.8187,11142.1103,1.0
2015-04-12 14:35:31,276.6,5702.8187,11142.1102,1.0
2015-04-12 14:35:32,276.6,5702.8187,11142.1101,1.0
2015-04-12 14:35:33,276.6,5702.8186,11142.1101,1.0
2015-04-12 14:35:34,276.6,5702.8186,11142.11,1.0
2015-04-12 14:35:35,276.6,5702.818,11142.1095,1.0
2015-04-12 14:35:36,276.6,5702.8183,11142.109,1.0
2015-04-12 14:35:37,276.5,5702.8184,11142.1076,1.0
2015-04-12 14:35:38,276.6,5702.8187,11142.1075,1.0
2015-04-12 14:35:39,276.2,5702.8188,11142.1064,1.0
2015-04-12 14:35:40,276.2,5702.8189,11142.1064,1.0
2015-04-12 14:35:41,275.3,5702.8192,11142.1051,1.0
2015-04-12 14:35:42,274.7,5702.8199,11142.1046,1.1
2015-04-12 14:35:43,274.3,5702.8202,11142.1045,1.0
2015-04-12 14:35:44,274.2,5702.8199,11142.1042,1.0
2015-04-12 14:35:45,273.8,5702.8198,11142.1045,1.0
2015-04-12 14:35:46,274.2,5702.8195,11142.104,1.0
2015-04-12 14:35:47,273.3,5702.819,11142.1048,1.0
2015-04-12 14:35:48,272.3,5702.8187,11142.1057,1.0
2015-04-12 14:35:49,272.7,5702.8189,11142.1052,1.0
2015-04-12 14:35:50,272.3,5702.8182,11142.1057,1.0
2015-04-12 14:35:51,272.3,5702.8182,11142.1056,1.1
2015-04-12 14:35:52,272.3,5702.8183,11142.1055,1.1
2015-04-12 14:35:53,272.3,5702.8184,11142.1054,1.0
2015-04-12 14:35:54,272.3,5702.8185,11142.1053,1.0
2015-04-12 14:35:55,272.3,5702.8186,11142.1052,1.0
2015-04-12 14:35:56,272.3,5702.8186,11142.1051,1.0
2015-04-12 14:35:57,272.2,5702.8187,11142.1049,1.0
2015-04-12 14:35:58,272.2,5702.8188,11142.1047,1.0
2015-04-12 14:35:59,272.2,5702.8188,11142.1046,1.0
2015-04-12 14:36:00,272.2,5702.8189,11142.1045,1.0
2015-04-12 14:36:01,272.2,5702.819,11142.1047,1.0
2015-04-12 14:36:02,272.1,5702.8191,11142.1046,1.0
2015-04-12 14:36:03,272.1,5702.8192,11142.1046,1.0
2015-04-12 14:36:04,272.1,5702.8192,11142.1045,1.0
2015-04-12 14:36:05,271.8,5702.819,11142.1051,1.0
2015-04-12 14:36:06,271.3,5702.8186,11142.1056,1.0
2015-04-12 14:36:07,271.8,5702.819,11142.1053,1.0
2015-04-12 14:36:08,272.4,5702.8195,11142.1055,1.0
2015-04-12 14:36:09,272.4,5702.8196,11142.1054,1.0
2015-04-12 14:36:10,273.1,5702.8202,11142.1055,1.0
2015-04-12 14:36:11,273.3,5702.8208,11142.1067,1.0
2015-04-12 14:36:12,273.9,5702.8214,11142.1063,1.0
2015-04-12 14:36:13,274.3,5702.8218,11142.1065,1.0
2015-04-12 14:36:14,274.3,5702.8219,11142.1064,1.0
2015-04-12 14:36:15,274.3,5702.8219,11142.1063,1.1
2015-04-12 14:36:16,274.4,5702.822,11142.1063,1.1
2015-04-12 14:36:17,274.4,5702.822,11142.106,1.0
2015-04-12 14:36:18,274.4,5702.8219,11142.1058,1.0
2015-04-12 14:36:19,274.5,5702.8219,11142.1057,1.1
