,hnu
2015-04-12 14:33:19,2.7
2015-04-12 14:33:20,2.7
2015-04-12 14:33:21,2.7
2015-04-12 14:33:22,2.7
2015-04-12 14:33:23,2.7
2015-04-12 14:33:24,2.7
2015-04-12 14:33:25,2.7
2015-04-12 14:33:26,2.7
2015-04-12 14:33:27,2.7
2015-04-12 14:33:28,2.7
2015-04-12 14:33:29,2.7
2015-04-12 14:33:30,2.7
2015-04-12 14:33:31,2.7
2015-04-12 14:33:32,2.7
2015-04-12 14:33:33,2.8
2015-04-12 14:33:34,2.8
2015-04-12 14:33:35,2.8
2015-04-12 14:33:36,2.8
2015-04-12 14:33:37,2.8
2015-04-12 14:33:38,2.8
2015-04-12 14:33:39,2.8
2015-04-12 14:33:40,2.8
2015-04-12 14:33:41,2.8
2015-04-12 14:33:42,2.8
2015-04-12 14:33:43,2.8
2015-04-12 14:33:44,2.8
2015-04-12 14:33:45,2.8
2015-04-12 14:33:46,2.8
2015-04-12 14:33:47,2.8
2015-04-12 14:33:48,2.8
2015-04-12 14:33:49,2.8
2015-04-12 14:33:50,2.8
2015-04-12 14:33:51,2.8
2015-04-12 14:33:52,2.8
2015-04-12 14:33:53,2.8
2015-04-12 14:33:54,2.8
2015-04-12 14:33:55,2.8
2015-04-12 14:33:56,2.8
2015-04-12 14:33:57,2.8
2015-04-12 14:33:58,2.8
2015-04-12 14:33:59,2.8
2015-04-12 14:34:00,2.8
2015-04-12 14:34:01,2.8
2015-04-12 14:34:02,2.8
2015-04-12 14:34:03,2.8
2015-04-12 14:34:04,2.8
2015-04-12 14:34:05,2.8
2015-04-12 14:34:06,2.8
2015-04-12 14:34:07,2.8
2015-04-12 14:34:08,2.8
2015-04-12 14:34:09,2.8
2015-04-12 14:34:10,2.8
2015-04-12 14:34:11,2.8
2015-04-12 14:34:12,2.8
2015-04-12 14:34:13,2.8
2015-04-12 14:34:14,2.8
2015-04-12 14:34:15,2.8
2015-04-12 14:34:16,2.8
2015-04-12 14:34:17,2.8
2015-04-12 14:34:18,2.8
2015-04-12 14:34:19,2.8
2015-04-12 14:34:20,2.8
2015-04-12 14:34:21,2.8
2015-04-12 14:34:22,2.8
2015-04-12 14:34:23,2.8
2015-04-12 14:34:24,2.8
2015-04-12 14:34:25,2.8
2015-04-12 14:34:26,2.8
2015-04-12 14:34:27,2.8
2015-04-12 14:34:28,2.8
2015-04-12 14:34:29,2.8
2015-04-12 14:34:30,2.8
2015-04-12 14:34:31,2.8
2015-04-12 14:34:32,2.8
2015-04-12 14:34:33,2.8
2015-04-12 14:34:34,2.8
2015-04-12 14:34:35,2.8
2015-04-12 14:34:36,2.8
2015-04-12 14:34:37,2.8
2015-04-12 14:34:38,2.8
2015-04-12 14:34:39,2.8
2015-04-12 14:34:40,2.8
2015-04-12 14:34:41,2.8
2015-04-12 14:34:42,2.8
2015-04-12 14:34:43,2.8
2015-04-12 14:34:44,2.8
2015-04-12 14:34:45,2.8
2015-04-12 14:34:46,2.8
2015-04-12 14:34:47,2.8
2015-04-12 14:34:48,2.7
2015-04-12 14:34:49,2.7
2015-04-12 14:34:50,2.7
2015-04-12 14:34:51,2.7
2015-04-12 14:34:52,2.7
2015-04-12 14:34:53,2.7
2015-04-12 14:34:54,2.7
2015-04-12 14:34:55,2.7
2015-04-12 14:34:56,2.7
2015-04-12 14:34:57,2.7
2015-04-12 14:34:58,2.7
2015-04-12 14:34:59,2.7
2015-04-12 14:35:00,2.8
2015-04-12 14:35:01,2.8
2015-04-12 14:35:02,2.8
2015-04-12 14:35:03,2.8
2015-04-12 14:35:04,2.8
2015-04-12 14:35:05,2.8
2015-04-12 14:35:06,2.8
2015-04-12 14:35:07,2.8
2015-04-12 14:35:08,2.8
2015-04-12 14:35:09,2.8
2015-04-12 14:35:10,2.8
2015-04-12 14:35:11,2.8
2015-04-12 14:35:12,2.8
2015-04-12 14:35:13,2.8
2015-04-12 14:35:14,2.8
2015-04-12 14:35:15,2.8
2015-04-12 14:35:16,2.8
2015-04-12 14:35:17,2.8
2015-04-12 14:35:18,2.8
2015-04-12 14:35:19,2.8
2015-04-12 14:35:20,2.8
2015-04-12 14:35:21,2.8
2015-04-12 14:35:22,2.8
2015-04-12 14:35:23,2.8
2015-04-12 14:35:24,2.8
2015-04-12 14:35:25,2.8
2015-04-12 14:35:26,2.8
2015-04-12 14:35:27,2.8
2015-04-12 14:35:28,2.8
2015-04-12 14:35:29,2.8
2015-04-12 14:35:30,2.8
2015-04-12 14:35:31,2.8
2015-04-12 14:35:32,2.8
2015-04-12 14:35:33,2.8
2015-04-12 14:35:34,2.8
2015-04-12 14:35:35,2.8
2015-04-12 14:35:36,2.8
2015-04-12 14:35:37,2.8
2015-04-12 14:35:38,2.8
2015-04-12 14:35:39,2.8
2015-04-12 14:35:40,2.8
2015-04-12 14:35:41,2.8
2015-04-12 14:35:42,2.8
2015-04-12 14:35:43,2.8
2015-04-12 14:35:44,2.8
2015-04-12 14:35:45,2.8
2015-04-12 14:35:46,2.8
2015-04-12 14:35:47,2.8
2015-04-12 14:35:48,2.8
2015-04-12 14:35:49,2.8
2015-04-12 14:35:50,2.8
2015-04-12 14:35:51,2.8
2015-04-12 14:35:52,2.8
2015-04-12 14:35:53,2.8
2015-04-12 14:35:54,2.8
2015-04-12 14:35:55,2.8
2015-04-12 14:35:56,2.8
2015-04-12 14:35:57,2.8
2015-04-12 14:35:58,2.8
2015-04-12 14:35:59,2.8
2015-04-12 14:36:00,2.8
2015-04-12 14:36:01,2.8
2015-04-12 14:36:02,2.8
2015-04-12 14:36:03,2.8
2015-04-12 14:36:04,2.8
2015-04-12 14:36:05,2.8
2015-04-12 14:36:06,2.8
2015-04-12 14:36:07,2.8
2015-04-12 14:36:08,2.8
2015-04-12 14:36:09,2.8
2015-04-12 14:36:10,2.8
2015-04-12 14:36:11,2.8
2015-04-12 14:36:12,2.8
2015-04-12 14:36:13,2.8
2015-04-12 14:36:14,2.8
2015-04-12 14:36:15,2.8
2015-04-12 14:36:16,2.8
2015-04-12 14:36:17,2.8
2015-04-12 14:36:18,2.8
2015-04-12 14:36:19,2.8
2015-04-12 14:36:20,2.8
2015-04-12 14:36:21,2.8
2015-04-12 14:36:22,2.8
2015-04-12 14:36:23,2.8
2015-04-12 14:36:24,2.8
2015-04-12 14:36:25,2.8
2015-04-12 14:36:26,2.8
2015-04-12 14:36:27,2.8
2015-04-12 14:36:28,2.8
2015-04-12 14:36:29,2.8
2015-04-12 14:36:30,2.8
2015-04-12 14:36:31,2.8
2015-04-12 14:36:32,2.8
2015-04-12 14:36:33,2.8
2015-04-12 14:36:34,2.8
2015-04-12 14:36:35,2.8
2015-04-12 14:36:36,2.8
2015-04-12 14:36:37,2.8
2015-04-12 14:36:38,2.8
2015-04-12 14:36:39,2.8
2015-04-12 14:36:40,2.8
2015-04-12 14:36:41,2.8
2015-04-12 14:36:42,2.8
2015-04-12 14:36:43,2.8
2015-04-12 14:36:44,2.8
2015-04-12 14:36:45,2.8
2015-04-12 14:36:46,2.8
2015-04-12 14:36:47,2.8
2015-04-12 14:36:48,2.8
2015-04-12 14:36:49,2.8
2015-04-12 14:36:50,2.8
2015-04-12 14:36:51,2.8
2015-04-12 14:36:52,2.8
2015-04-12 14:36:53,2.8
2015-04-12 14:36:54,2.8
2015-04-12 14:36:55,2.8
2015-04-12 14:36:56,2.8
2015-04-12 14:36:57,2.8
2015-04-12 14:36:58,2.8
2015-04-12 14:36:59,2.8
2015-04-12 14:37:00,2.8
2015-04-12 14:37:01,2.8
2015-04-12 14:37:02,2.8
2015-04-12 14:37:03,2.8
2015-04-12 14:37:04,2.8
2015-04-12 14:37:05,2.8
2015-04-12 14:37:06,2.8
2015-04-12 14:37:07,2.8
2015-04-12 14:37:08,2.8
2015-04-12 14:37:09,2.8
2015-04-12 14:37:10,2.8
2015-04-12 14:37:11,2.8
2015-04-12 14:37:12,2.8
2015-04-12 14:37:13,2.8
2015-04-12 14:37:14,2.8
2015-04-12 14:37:15,2.8
2015-04-12 14:37:16,2.8
2015-04-12 14:37:17,2.8
2015-04-12 14:37:18,2.8
2015-04-12 14:37:19,2.8
2015-04-12 14:37:20,2.8
2015-04-12 14:37:21,2.8
2015-04-12 14:37:22,2.8
2015-04-12 14:37:23,2.8
2015-04-12 14:37:24,2.8
2015-04-12 14:37:25,2.8
2015-04-12 14:37:26,2.8
2015-04-12 14:37:27,2.8
2015-04-12 14:37:28,2.8
2015-04-12 14:37:29,2.8
2015-04-12 14:37:30,2.8
2015-04-12 14:37:31,2.8
2015-04-12 14:37:32,2.8
2015-04-12 14:37:33,2.8
2015-04-12 14:37:34,2.8
2015-04-12 14:37:35,2.8
2015-04-12 14:37:36,2.8
2015-04-12 14:37:37,2.8
2015-04-12 14:37:38,2.8
2015-04-12 14:37:39,2.8
2015-04-12 14:37:40,2.8
2015-04-12 14:37:41,2.8
2015-04-12 14:37:42,2.8
2015-04-12 14:37:43,2.8
2015-04-12 14:37:44,2.8
2015-04-12 14:37:45,2.8
2015-04-12 14:37:46,2.8
2015-04-12 14:37:47,2.9
2015-04-12 14:37:48,2.8
2015-04-12 14:37:49,2.8
2015-04-12 14:37:50,2.8
2015-04-12 14:37:51,2.8
2015-04-12 14:37:52,2.8
2015-04-12 14:37:53,2.9
2015-04-12 14:37:54,2.9
2015-04-12 14:37:55,2.9
2015-04-12 14:37:56,2.9
2015-04-12 14:37:57,2.9
2015-04-12 14:37:58,2.8
2015-04-12 14:37:59,2.9
2015-04-12 14:38:00,2.9
2015-04-12 14:38:01,2.8
2015-04-12 14:38:02,2.8
2015-04-12 14:38:03,2.8
2015-04-12 14:38:04,2.8
2015-04-12 14:38:05,2.8
2015-04-12 14:38:06,2.8
2015-04-12 14:38:07,2.9
2015-04-12 14:38:08,2.9
2015-04-12 14:38:09,2.8
2015-04-12 14:38:10,2.8
2015-04-12 14:38:11,2.9
2015-04-12 14:38:12,2.9
2015-04-12 14:38:13,2.8
2015-04-12 14:38:14,2.9
2015-04-12 14:38:15,2.9
2015-04-12 14:38:16,2.9
2015-04-12 14:38:17,2.8
2015-04-12 14:38:18,2.8
2015-04-12 14:38:19,2.8
2015-04-12 14:38:20,2.8
2015-04-12 14:38:21,2.8
2015-04-12 14:38:22,2.8
2015-04-12 14:38:23,2.9
2015-04-12 14:38:24,2.9
2015-04-12 14:38:25,2.9
2015-04-12 14:38:26,2.9
2015-04-12 14:38:27,2.9
2015-04-12 14:38:28,2.9
2015-04-12 14:38:29,2.9
2015-04-12 14:38:30,2.9
2015-04-12 14:38:31,2.9
2015-04-12 14:38:32,2.9
2015-04-12 14:38:33,2.8
2015-04-12 14:38:34,2.9
2015-04-12 14:38:35,2.9
2015-04-12 14:38:36,2.9
2015-04-12 14:38:37,2.9
2015-04-12 14:38:38,2.9
2015-04-12 14:38:39,2.9
2015-04-12 14:38:40,2.9
2015-04-12 14:38:41,2.9
2015-04-12 14:38:42,2.9
2015-04-12 14:38:43,2.9
2015-04-12 14:38:44,2.9
2015-04-12 14:38:45,2.9
2015-04-12 14:38:46,2.9
2015-04-12 14:38:47,2.9
2015-04-12 14:38:48,2.9
2015-04-12 14:38:49,2.9
2015-04-12 14:38:50,2.9
2015-04-12 14:38:51,2.9
2015-04-12 14:38:52,2.8
2015-04-12 14:38:53,2.9
2015-04-12 14:38:54,2.9
2015-04-12 14:38:55,2.8
2015-04-12 14:38:56,2.8
2015-04-12 14:38:57,2.9
2015-04-12 14:38:58,2.9
2015-04-12 14:38:59,2.9
2015-04-12 14:39:00,2.9
2015-04-12 14:39:01,2.9
2015-04-12 14:39:02,2.9
2015-04-12 14:39:03,2.9
2015-04-12 14:39:04,2.9
2015-04-12 14:39:05,2.9
2015-04-12 14:39:06,2.9
2015-04-12 14:39:07,2.9
2015-04-12 14:39:08,2.9
2015-04-12 14:39:09,2.9
2015-04-12 14:39:10,2.9
2015-04-12 14:39:11,2.9
2015-04-12 14:39:12,2.9
2015-04-12 14:39:13,2.9
2015-04-12 14:39:14,2.9
2015-04-12 14:39:15,2.9
2015-04-12 14:39:16,2.9
2015-04-12 14:39:17,2.9
2015-04-12 14:39:18,2.9
2015-04-12 14:39:19,2.9
2015-04-12 14:39:20,2.9
2015-04-12 14:39:21,2.9
2015-04-12 14:39:22,2.9
2015-04-12 14:39:23,2.9
2015-04-12 14:39:24,2.9
2015-04-12 14:39:25,2.9
2015-04-12 14:39:26,2.9
2015-04-12 14:39:27,2.9
2015-04-12 14:39:28,2.9
2015-04-12 14:39:29,2.9
2015-04-12 14:39:30,2.9
2015-04-12 14:39:31,2.9
2015-04-12 14:39:32,2.9
2015-04-12 14:39:33,2.9
2015-04-12 14:39:34,2.9
2015-04-12 14:39:35,2.9
2015-04-12 14:39:36,2.9
2015-04-12 14:39:37,2.9
2015-04-12 14:39:38,2.8
2015-04-12 14:39:39,2.8
2015-04-12 14:39:40,2.8
2015-04-12 14:39:41,2.8
2015-04-12 14:39:42,2.8
2015-04-12 14:39:43,2.8
2015-04-12 14:39:44,2.8
2015-04-12 14:39:45,2.8
2015-04-12 14:39:46,2.8
2015-04-12 14:39:47,2.8
2015-04-12 14:39:48,2.8
2015-04-12 14:39:49,2.7
2015-04-12 14:39:50,2.7
2015-04-12 14:39:51,2.7
2015-04-12 14:39:52,2.7
2015-04-12 14:39:53,2.7
2015-04-12 14:39:54,2.7
2015-04-12 14:39:55,2.7
2015-04-12 14:39:56,2.7
2015-04-12 14:39:57,2.7
2015-04-12 14:39:58,2.7
2015-04-12 14:39:59,2.7
2015-04-12 14:40:00,2.7
2015-04-12 14:40:01,2.7
2015-04-12 14:40:02,2.7
2015-04-12 14:40:03,2.7
2015-04-12 14:40:04,2.7
2015-04-12 14:40:05,2.7
2015-04-12 14:40:06,2.7
2015-04-12 14:40:07,2.7
2015-04-12 14:40:08,2.7
2015-04-12 14:40:09,2.7
2015-04-12 14:40:10,2.7
2015-04-12 14:40:11,2.7
2015-04-12 14:40:12,2.7
2015-04-12 14:40:13,2.7
2015-04-12 14:40:14,2.7
2015-04-12 14:40:15,2.7
2015-04-12 14:40:16,2.7
2015-04-12 14:40:17,2.7
2015-04-12 14:40:18,2.7
2015-04-12 14:40:19,2.7
2015-04-12 14:40:20,2.7
2015-04-12 14:40:21,2.7
2015-04-12 14:40:22,2.7
2015-04-12 14:40:23,2.7
2015-04-12 14:40:24,2.7
2015-04-12 14:40:25,2.7
2015-04-12 14:40:26,2.7
2015-04-12 14:40:27,2.7
2015-04-12 14:40:28,2.8
2015-04-12 14:40:29,2.8
2015-04-12 14:40:30,2.8
2015-04-12 14:40:31,3.3
2015-04-12 14:40:32,3.4
2015-04-12 14:40:33,3.9
2015-04-12 14:40:34,4.4
2015-04-12 14:40:35,4.4
2015-04-12 14:40:36,5.0
2015-04-12 14:40:37,5.1
2015-04-12 14:40:38,5.5
2015-04-12 14:40:39,5.5
2015-04-12 14:40:40,5.5
2015-04-12 14:40:41,5.5
2015-04-12 14:40:42,4.9
2015-04-12 14:40:43,4.3
2015-04-12 14:40:44,4.3
2015-04-12 14:40:45,3.7
2015-04-12 14:40:46,3.6
2015-04-12 14:40:47,3.5
2015-04-12 14:40:48,3.4
2015-04-12 14:40:49,3.4
2015-04-12 14:40:50,3.5
2015-04-12 14:40:51,3.5
2015-04-12 14:40:52,3.6
2015-04-12 14:40:53,3.6
2015-04-12 14:40:54,3.6
2015-04-12 14:40:55,3.5
2015-04-12 14:40:56,3.4
2015-04-12 14:40:57,3.4
2015-04-12 14:40:58,3.3
2015-04-12 14:40:59,3.3
2015-04-12 14:41:00,3.2
2015-04-12 14:41:01,3.2
2015-04-12 14:41:02,3.2
2015-04-12 14:41:03,3.2
2015-04-12 14:41:04,3.2
2015-04-12 14:41:05,3.8
2015-04-12 14:41:06,4.4
2015-04-12 14:41:07,4.4
2015-04-12 14:41:08,5.0
2015-04-12 14:41:09,5.5
2015-04-12 14:41:10,5.6
2015-04-12 14:41:11,5.6
2015-04-12 14:41:12,5.7
2015-04-12 14:41:13,5.6
2015-04-12 14:41:14,5.0
2015-04-12 14:41:15,4.4
2015-04-12 14:41:16,4.4
2015-04-12 14:41:17,3.8
2015-04-12 14:41:18,3.8
2015-04-12 14:41:19,3.7
2015-04-12 14:41:20,3.2
2015-04-12 14:41:21,3.2
2015-04-12 14:41:22,3.2
2015-04-12 14:41:23,3.2
2015-04-12 14:41:24,3.2
2015-04-12 14:41:25,3.2
2015-04-12 14:41:26,3.2
2015-04-12 14:41:27,3.2
2015-04-12 14:41:28,3.3
2015-04-12 14:41:29,3.3
2015-04-12 14:41:30,3.3
2015-04-12 14:41:31,3.3
2015-04-12 14:41:32,3.4
2015-04-12 14:41:33,3.4
2015-04-12 14:41:34,3.4
2015-04-12 14:41:35,3.4
2015-04-12 14:41:36,3.4
2015-04-12 14:41:37,3.4
2015-04-12 14:41:38,3.3
2015-04-12 14:41:39,3.3
2015-04-12 14:41:40,3.3
2015-04-12 14:41:41,3.3
2015-04-12 14:41:42,3.8
2015-04-12 14:41:43,3.9
2015-04-12 14:41:44,3.9
2015-04-12 14:41:45,4.4
2015-04-12 14:41:46,4.5
2015-04-12 14:41:47,4.5
2015-04-12 14:41:48,4.6
2015-04-12 14:41:49,4.6
2015-04-12 14:41:50,4.5
2015-04-12 14:41:51,4.1
2015-04-12 14:41:52,4.0
2015-04-12 14:41:53,3.9
2015-04-12 14:41:54,3.8
2015-04-12 14:41:55,3.8
2015-04-12 14:41:56,4.4
2015-04-12 14:41:57,4.5
2015-04-12 14:41:58,6.0
2015-04-12 14:41:59,7.7
2015-04-12 14:42:00,9.7
2015-04-12 14:42:01,11.7
2015-04-12 14:42:02,12.5
2015-04-12 14:42:03,13.8
2015-04-12 14:42:04,14.5
2015-04-12 14:42:05,14.6
2015-04-12 14:42:06,14.6
2015-04-12 14:42:07,14.6
2015-04-12 14:42:08,13.9
2015-04-12 14:42:09,12.8
2015-04-12 14:42:10,11.3
2015-04-12 14:42:11,10.5
2015-04-12 14:42:12,8.9
2015-04-12 14:42:13,7.5
2015-04-12 14:42:14,6.4
2015-04-12 14:42:15,5.9
2015-04-12 14:42:16,5.3
2015-04-12 14:42:17,4.8
2015-04-12 14:42:18,4.7
2015-04-12 14:42:19,4.2
2015-04-12 14:42:20,4.2
2015-04-12 14:42:21,4.1
2015-04-12 14:42:22,4.0
2015-04-12 14:42:23,3.6
2015-04-12 14:42:24,3.5
2015-04-12 14:42:25,3.5
2015-04-12 14:42:26,3.4
2015-04-12 14:42:27,3.4
2015-04-12 14:42:28,3.4
2015-04-12 14:42:29,3.4
2015-04-12 14:42:30,3.5
2015-04-12 14:42:31,4.2
2015-04-12 14:42:32,5.4
2015-04-12 14:42:33,6.8
2015-04-12 14:42:34,7.5
2015-04-12 14:42:35,8.7
2015-04-12 14:42:36,8.7
2015-04-12 14:42:37,8.1
2015-04-12 14:42:38,7.7
2015-04-12 14:42:39,6.5
2015-04-12 14:42:40,5.4
2015-04-12 14:42:41,4.8
2015-04-12 14:42:42,4.2
2015-04-12 14:42:43,4.2
2015-04-12 14:42:44,3.7
2015-04-12 14:42:45,3.6
2015-04-12 14:42:46,3.5
2015-04-12 14:42:47,3.5
2015-04-12 14:42:48,3.4
2015-04-12 14:42:49,3.3
2015-04-12 14:42:50,3.3
2015-04-12 14:42:51,3.2
2015-04-12 14:42:52,3.1
2015-04-12 14:42:53,3.1
2015-04-12 14:42:54,3.0
2015-04-12 14:42:55,3.0
2015-04-12 14:42:56,2.9
2015-04-12 14:42:57,2.9
2015-04-12 14:42:58,2.9
2015-04-12 14:42:59,2.8
2015-04-12 14:43:00,2.8
2015-04-12 14:43:01,2.8
2015-04-12 14:43:02,2.8
2015-04-12 14:43:03,2.8
2015-04-12 14:43:04,2.8
2015-04-12 14:43:05,2.8
2015-04-12 14:43:06,2.8
2015-04-12 14:43:07,2.8
2015-04-12 14:43:08,2.8
2015-04-12 14:43:09,2.8
2015-04-12 14:43:10,2.8
2015-04-12 14:43:11,2.8
2015-04-12 14:43:12,2.8
2015-04-12 14:43:13,2.8
2015-04-12 14:43:14,2.8
2015-04-12 14:43:15,2.8
2015-04-12 14:43:16,2.8
2015-04-12 14:43:17,2.8
2015-04-12 14:43:18,2.8
2015-04-12 14:43:19,2.8
2015-04-12 14:43:20,2.8
2015-04-12 14:43:21,2.8
2015-04-12 14:43:22,2.8
2015-04-12 14:43:23,2.8
2015-04-12 14:43:24,2.8
2015-04-12 14:43:25,2.8
2015-04-12 14:43:26,2.8
2015-04-12 14:43:27,2.8
2015-04-12 14:43:28,2.9
2015-04-12 14:43:29,2.9
2015-04-12 14:43:30,2.8
2015-04-12 14:43:31,2.8
2015-04-12 14:43:32,2.8
2015-04-12 14:43:33,2.8
2015-04-12 14:43:34,2.8
2015-04-12 14:43:35,2.8
2015-04-12 14:43:36,2.8
2015-04-12 14:43:37,2.8
2015-04-12 14:43:38,2.8
2015-04-12 14:43:39,2.8
2015-04-12 14:43:40,2.8
2015-04-12 14:43:41,2.7
2015-04-12 14:43:42,2.7
2015-04-12 14:43:43,2.7
2015-04-12 14:43:44,2.7
2015-04-12 14:43:45,2.7
2015-04-12 14:43:46,2.7
2015-04-12 14:43:47,2.7
2015-04-12 14:43:48,2.8
2015-04-12 14:43:49,2.8
2015-04-12 14:43:50,2.8
