,ae52_BC,ae52_UVPM,co2bg_CO2ppm,co2dil_CO2ppm,co2tpi_CO2ppm,drxPM1,drxPM10,drxPM2.5,drxPM4,drxTPM,flDPI_Flow,flFP1_Flow,flFP2_Flow,flPressure1_kPa,flPressure2_kPa,flPressure4_kPa,flPressure5_kPa,flTemp1_F,flTemp2_F,flTemp4_F,flTemp5_F,flVPO_Flow,gps2_elevation,gps2_latitude,gps2_longitude,gps2_velocity,gps_elevation,gps_latitude,gps_longitude,gps_velocity,hnu,lanco_ppm,lantemp_C,testo_CO2,testo_CO2i,testo_COppm,testo_NO2ppm,testo_NOppm,testo_O2percent,testo_Pabs_hPa2,testo_Pump_Lmin,testo_SO2ppm,testo_Ta_C,testo_Tf_C,vim_eng_fuel_rate,vim_eng_ground_spd,vim_eng_load,vim_eng_payload,vim_eng_rpm,zet_eng_fuel_rate,zet_eng_ground_spd,zet_eng_load,zet_eng_rpm
2015-04-12 14:33:22,5445.0,7384.0,426.0,367.5,542.9,0.0,0.0,0.0,0.0,0.0,31.56,7.348,7.726,101.3,101.3,101.3,96.14,20.48,20.75,20.19,32.41,11.526,266.1,5702.8256,11142.1069,1.1,12.8216216216,5702.82351622,11142.1084649,0.0,2.7,9.644,22.299,0.0,0.08,3.7,0.9,4.05,20.94,960.0,1.06,0.0,25.7,29.65,,,,,,11.8,-0.1,9.0,699.0
2015-04-12 14:33:23,8823.4,13730.9,426.0,355.15,519.2,0.0,0.0,0.0,0.0,0.0,31.53,7.587,7.874,101.3,101.3,101.3,96.22,20.47,20.74,20.19,32.42,10.439,266.1,5702.8257,11142.1068,1.1,12.972972973,5702.82347973,11142.1084439,0.0,2.7,9.667,22.296,0.0,0.08,4.9,0.8,3.9,20.94,960.0,1.06,0.0,25.7,29.5,,,,,,12.0,-0.1,10.0,699.0
2015-04-12 14:33:24,12201.8,20077.8,426.0,342.8,558.9,0.011,0.011,0.011,0.011,0.011,31.63,7.927,7.891,101.3,101.3,101.3,96.22,20.46,20.75,20.16,32.42,10.256,266.1,5702.8258,11142.1067,1.1,13.1243243243,5702.82344324,11142.108423,0.0,2.7,9.72,22.293,0.0,0.07,6.35,0.8,3.8,20.94,960.0,1.06,0.0,25.7,29.45,,,,,,11.8,-0.1,10.0,700.0
2015-04-12 14:33:25,15580.2,26424.7,426.0,328.9,598.6,0.011,0.011,0.011,0.011,0.011,31.58,7.922,7.954,101.3,101.3,101.3,96.25,20.47,20.75,20.16,32.43,10.347,266.1,5702.8259,11142.1065,1.1,13.2756756757,5702.82340676,11142.108402,0.0,2.7,9.72,22.289,0.0,0.06,7.8,0.8,3.7,20.94,960.0,1.06,0.0,25.7,29.4,,,,,,12.0,-0.1,10.0,700.0
2015-04-12 14:33:26,18958.6,32771.6,426.0,326.55,908.766666667,0.011,0.011,0.011,0.011,0.011,31.51,7.905,7.892,101.3,101.3,101.3,96.33,20.48,20.77,20.17,32.41,9.705,266.1,5702.8261,11142.1064,1.0,13.427027027,5702.82337027,11142.1083811,0.0,2.7,9.747,22.286,0.0,0.06,7.8,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.4,,,,,,12.1,-0.1,10.0,700.0
2015-04-12 14:33:27,22337.0,39118.5,426.0,324.2,1218.93333333,0.012,0.012,0.012,0.012,0.012,31.57,7.921,7.897,101.3,101.3,101.3,96.24,20.48,20.77,20.16,32.38,10.328,266.1,5702.8262,11142.1063,1.0,13.5783783784,5702.82333378,11142.1083601,0.0,2.7,9.785,22.283,0.0,0.06,10.5,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3,,,,,,11.4,-0.1,9.0,701.0
2015-04-12 14:33:28,25715.4,45465.4,426.0,322.733333333,1529.1,0.018,0.018,0.018,0.018,0.018,31.54,7.851,7.982,101.3,101.3,101.3,96.24,20.48,20.78,20.17,32.41,9.845,266.1,5702.8263,11142.1062,1.0,13.7297297297,5702.8232973,11142.1083392,0.0,2.7,9.922,22.28,0.0,0.06,10.5,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3,,,,,,11.3,-0.1,9.0,701.0
2015-04-12 14:33:29,29093.8,51812.3,425.5,321.266666667,3000.5,0.032,0.033,0.032,0.033,0.033,31.55,7.933,8.044,101.3,101.3,101.3,96.23,20.48,20.77,20.16,32.37,9.933,266.1,5702.8265,11142.1061,1.0,13.8810810811,5702.82326081,11142.1083182,0.0,2.7,9.991,22.277,0.0,0.06,10.5,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3,,,,,,11.2,-0.2,9.0,701.0
2015-04-12 14:33:30,32472.2,58159.2,425.0,319.8,3886.85,0.072,0.072,0.072,0.072,0.072,31.48,7.964,8.033,101.3,101.3,101.3,96.27,20.49,20.77,20.16,32.39,9.896,266.1,5702.8266,11142.106,1.0,14.0324324324,5702.82322432,11142.1082973,0.0,2.7,9.964,22.274,0.0,0.06,13.7,0.8,4.0,20.94,960.0,1.07,0.0,25.7,29.3,,,,,,11.2,-0.1,9.0,700.0
2015-04-12 14:33:31,35850.6,64506.1,425.0,320.0,4773.2,0.137,0.137,0.137,0.137,0.137,31.56,7.945,7.943,101.3,101.3,101.3,96.26,20.49,20.78,20.14,32.39,10.257,266.1,5702.8267,11142.1059,1.0,14.1837837838,5702.82318784,11142.1082764,0.0,2.7,9.979,22.271,0.0,0.06,13.7,0.6,4.0,20.94,960.0,1.07,0.0,25.7,29.2,,,,,,11.3,-0.1,9.0,699.0
