,lannum,lanvolt,lantemp_C,lanco_ppm
2015-04-12 11:16:45,2,4e-05,8.286,0.004
2015-04-12 11:16:46,3,4e-05,8.286,0.004
2015-04-12 11:16:47,4,4e-05,8.288,0.004
2015-04-12 11:16:48,5,4e-05,8.29,0.004
2015-04-12 11:16:49,6,4e-05,8.291,0.004
2015-04-12 11:16:50,7,4e-05,8.293,0.004
2015-04-12 11:16:51,8,4e-05,8.293,0.004
2015-04-12 11:16:52,9,4e-05,8.294,0.004
2015-04-12 11:16:53,10,4e-05,8.296,0.004
2015-04-12 11:16:54,11,4e-05,8.297,0.004
2015-04-12 11:16:55,12,4e-05,8.297,0.004
2015-04-12 11:16:56,13,4e-05,8.299,0.004
2015-04-12 11:16:57,14,4e-05,8.301,0.004
2015-04-12 11:16:58,15,4e-05,8.302,0.004
2015-04-12 11:16:59,16,4e-05,8.302,0.004
2015-04-12 11:17:00,17,4e-05,8.304,0.004
2015-04-12 11:17:01,18,0.00061,8.305,0.061
2015-04-12 11:17:02,19,0.00168,8.307,0.168
2015-04-12 11:17:03,20,0.00156,8.307,0.156
2015-04-12 11:17:04,21,4e-05,8.308,0.004
2015-04-12 11:17:05,22,4e-05,8.31,0.004
2015-04-12 11:17:06,23,4e-05,8.311,0.004
2015-04-12 11:17:07,24,4e-05,8.313,0.004
2015-04-12 11:17:08,25,4e-05,8.313,0.004
2015-04-12 11:17:09,26,4e-05,8.315,0.004
2015-04-12 11:17:10,27,4e-05,8.316,0.004
2015-04-12 11:17:11,28,4e-05,8.318,0.004
2015-04-12 11:17:12,29,4e-05,8.318,0.004
2015-04-12 11:17:13,30,4e-05,8.319,0.004
2015-04-12 11:17:14,31,4e-05,8.321,0.004
2015-04-12 11:17:15,32,4e-05,8.322,0.004
2015-04-12 11:17:16,33,4e-05,8.324,0.004
2015-04-12 11:17:17,34,4e-05,8.324,0.004
2015-04-12 11:17:18,35,4e-05,8.325,0.004
2015-04-12 11:17:19,36,4e-05,8.327,0.004
2015-04-12 11:17:20,37,4e-05,8.329,0.004
2015-04-12 11:17:21,38,4e-05,8.33,0.004
2015-04-12 11:17:22,39,4e-05,8.33,0.004
2015-04-12 11:17:23,40,4e-05,8.332,0.004
2015-04-12 11:17:24,41,4e-05,8.333,0.004
2015-04-12 11:17:25,42,4e-05,8.335,0.004
2015-04-12 11:17:26,43,4e-05,8.336,0.004
2015-04-12 11:17:27,44,4e-05,8.336,0.004
2015-04-12 11:17:28,45,4e-05,8.338,0.004
2015-04-12 11:17:29,46,4e-05,8.339,0.004
2015-04-12 11:17:30,47,4e-05,8.341,0.004
2015-04-12 11:17:31,48,4e-05,8.343,0.004
2015-04-12 11:17:32,49,4e-05,8.343,0.004
2015-04-12 11:17:33,50,4e-05,8.344,0.004
2015-04-12 11:17:34,51,4e-05,8.346,0.004
2015-04-12 11:17:35,52,4e-05,8.347,0.004
2015-04-12 11:17:36,53,4e-05,8.349,0.004
2015-04-12 11:17:37,54,4e-05,8.349,0.004
2015-04-12 11:17:38,55,4e-05,8.35,0.004
2015-04-12 11:17:39,56,4e-05,8.352,0.004
2015-04-12 11:17:40,57,4e-05,8.353,0.004
2015-04-12 11:17:41,58,4e-05,8.353,0.004
2015-04-12 11:17:42,59,4e-05,8.355,0.004
2015-04-12 11:17:43,60,4e-05,8.357,0.004
2015-04-12 11:17:44,61,4e-05,8.358,0.004
2015-04-12 11:17:45,62,4e-05,8.36,0.004
2015-04-12 11:17:46,63,4e-05,8.36,0.004
2015-04-12 11:17:47,64,4e-05,8.361,0.004
2015-04-12 11:17:48,65,4e-05,8.363,0.004
2015-04-12 11:17:49,66,4e-05,8.364,0.004
2015-04-12 11:17:50,67,4e-05,8.364,0.004
2015-04-12 11:17:51,68,4e-05,8.366,0.004
2015-04-12 11:17:52,69,4e-05,8.367,0.004
2015-04-12 11:17:53,70,4e-05,8.369,0.004
2015-04-12 11:17:54,71,4e-05,8.369,0.004
2015-04-12 11:17:55,72,4e-05,8.371,0.004
2015-04-12 11:17:56,73,4e-05,8.372,0.004
2015-04-12 11:17:57,74,4e-05,8.374,0.004
2015-04-12 11:17:58,75,4e-05,8.374,0.004
2015-04-12 11:17:59,76,4e-05,8.375,0.004
2015-04-12 11:18:00,77,4e-05,8.377,0.004
2015-04-12 11:18:01,78,4e-05,8.378,0.004
2015-04-12 11:18:02,79,4e-05,8.378,0.004
2015-04-12 11:18:03,80,4e-05,8.38,0.004
2015-04-12 11:18:04,81,4e-05,8.381,0.004
2015-04-12 11:18:05,82,4e-05,8.381,0.004
2015-04-12 11:18:06,83,4e-05,8.383,0.004
2015-04-12 11:18:07,84,4e-05,8.385,0.004
2015-04-12 11:18:08,85,4e-05,8.386,0.004
2015-04-12 11:18:09,86,4e-05,8.386,0.004
2015-04-12 11:18:10,87,4e-05,8.388,0.004
2015-04-12 11:18:11,88,4e-05,8.389,0.004
