,testo_COppm
2015-04-12 14:33:27,0.2
2015-04-12 14:33:28,0.55
2015-04-12 14:33:29,0.9
2015-04-12 14:33:30,0.9
2015-04-12 14:33:31,0.9
2015-04-12 14:33:32,2.5
2015-04-12 14:33:33,2.5
2015-04-12 14:33:34,3.7
2015-04-12 14:33:35,4.9
2015-04-12 14:33:36,6.35
2015-04-12 14:33:37,7.8
2015-04-12 14:33:38,7.8
2015-04-12 14:33:39,10.5
2015-04-12 14:33:40,10.5
2015-04-12 14:33:41,10.5
2015-04-12 14:33:42,13.7
2015-04-12 14:33:43,13.7
2015-04-12 14:33:44,16.8
2015-04-12 14:33:45,16.8
2015-04-12 14:33:46,16.8
2015-04-12 14:33:47,16.8
2015-04-12 14:33:48,19.4
2015-04-12 14:33:49,19.4
2015-04-12 14:33:50,22.0
2015-04-12 14:33:51,22.0
2015-04-12 14:33:52,23.15
2015-04-12 14:33:53,24.3
2015-04-12 14:33:54,24.3
2015-04-12 14:33:55,26.6
2015-04-12 14:33:56,26.6
2015-04-12 14:33:57,28.8
2015-04-12 14:33:58,28.8
2015-04-12 14:33:59,28.8
2015-04-12 14:34:00,28.8
2015-04-12 14:34:01,30.3
2015-04-12 14:34:02,31.7
2015-04-12 14:34:03,31.7
2015-04-12 14:34:04,31.7
2015-04-12 14:34:05,31.7
2015-04-12 14:34:06,33.1
2015-04-12 14:34:07,33.1
2015-04-12 14:34:08,34.2
2015-04-12 14:34:09,34.2
2015-04-12 14:34:10,34.7
2015-04-12 14:34:11,35.2
2015-04-12 14:34:12,35.2
2015-04-12 14:34:13,36.1
2015-04-12 14:34:14,36.1
2015-04-12 14:34:15,36.8
2015-04-12 14:34:16,36.8
2015-04-12 14:34:17,36.8
2015-04-12 14:34:18,36.8
2015-04-12 14:34:19,37.6
2015-04-12 14:34:20,38.2
2015-04-12 14:34:21,38.2
2015-04-12 14:34:22,38.2
2015-04-12 14:34:23,38.2
2015-04-12 14:34:24,38.7
2015-04-12 14:34:25,38.7
2015-04-12 14:34:26,39.3
2015-04-12 14:34:27,39.3
2015-04-12 14:34:28,39.55
2015-04-12 14:34:29,39.8
2015-04-12 14:34:30,39.8
2015-04-12 14:34:31,39.8
2015-04-12 14:34:32,40.1
2015-04-12 14:34:33,40.3
2015-04-12 14:34:34,40.3
2015-04-12 14:34:35,40.3
2015-04-12 14:34:36,40.3
2015-04-12 14:34:37,40.3
2015-04-12 14:34:38,40.3
2015-04-12 14:34:39,40.7
2015-04-12 14:34:40,40.7
2015-04-12 14:34:41,40.7
2015-04-12 14:34:42,40.7
2015-04-12 14:34:43,41.0
2015-04-12 14:34:44,41.4
2015-04-12 14:34:45,41.4
2015-04-12 14:34:46,41.4
2015-04-12 14:34:47,41.4
2015-04-12 14:34:48,41.8
2015-04-12 14:34:49,41.8
2015-04-12 14:34:50,41.9
2015-04-12 14:34:51,41.9
2015-04-12 14:34:52,42.05
2015-04-12 14:34:53,42.2
2015-04-12 14:34:54,42.3
2015-04-12 14:34:55,42.4
2015-04-12 14:34:56,42.4
2015-04-12 14:34:57,42.6
2015-04-12 14:34:58,42.6
2015-04-12 14:34:59,42.6
2015-04-12 14:35:00,42.6
2015-04-12 14:35:01,42.6
2015-04-12 14:35:02,42.8
2015-04-12 14:35:03,42.8
2015-04-12 14:35:04,42.8
2015-04-12 14:35:05,42.8
2015-04-12 14:35:06,42.9
2015-04-12 14:35:07,42.9
2015-04-12 14:35:08,43.1
2015-04-12 14:35:09,43.1
2015-04-12 14:35:10,43.1
2015-04-12 14:35:11,43.1
2015-04-12 14:35:12,43.1
2015-04-12 14:35:13,43.1
2015-04-12 14:35:14,43.3
2015-04-12 14:35:15,43.4
2015-04-12 14:35:16,43.4
2015-04-12 14:35:17,43.4
2015-04-12 14:35:18,43.4
2015-04-12 14:35:19,43.2
2015-04-12 14:35:20,43.2
2015-04-12 14:35:21,43.1
2015-04-12 14:35:22,43.1
2015-04-12 14:35:23,43.1
2015-04-12 14:35:24,43.3
2015-04-12 14:35:25,43.3
2015-04-12 14:35:26,43.4
