,testo_NO2ppm,testo_NOppm,testo_O2percent,testo_Pabs_hPa2,testo_Pump_Lmin,testo_SO2ppm,testo_Ta_C,testo_Tf_C
2015-04-12 14:33:27,1.0,8.0,20.94,960.0,1.06,0.0,25.7,30.8
2015-04-12 14:33:28,1.0,8.0,20.94,960.0,1.06,0.0,25.7,30.55
2015-04-12 14:33:29,1.0,8.0,20.94,960.0,1.06,0.0,25.7,30.3
2015-04-12 14:33:30,0.8,5.2,20.94,960.0,1.06,0.0,25.7,30.0
2015-04-12 14:33:31,1.0,5.2,20.94,960.0,1.06,0.0,25.7,30.0
2015-04-12 14:33:32,1.0,4.2,20.94,960.0,1.06,0.0,25.7,29.8
2015-04-12 14:33:33,1.0,4.2,20.94,960.0,1.06,0.0,25.7,29.8
2015-04-12 14:33:34,0.9,4.05,20.94,960.0,1.06,0.0,25.7,29.65
2015-04-12 14:33:35,0.8,3.9,20.94,960.0,1.06,0.0,25.7,29.5
2015-04-12 14:33:36,0.8,3.8,20.94,960.0,1.06,0.0,25.7,29.45
2015-04-12 14:33:37,0.8,3.7,20.94,960.0,1.06,0.0,25.7,29.4
2015-04-12 14:33:38,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.4
2015-04-12 14:33:39,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3
2015-04-12 14:33:40,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3
2015-04-12 14:33:41,0.8,3.7,20.94,960.0,1.07,0.0,25.7,29.3
2015-04-12 14:33:42,0.8,4.0,20.94,960.0,1.07,0.0,25.7,29.3
2015-04-12 14:33:43,0.6,4.0,20.94,960.0,1.07,0.0,25.7,29.2
2015-04-12 14:33:44,0.6,4.0,20.94,960.0,1.07,0.0,25.7,29.2
2015-04-12 14:33:45,0.6,4.4,20.94,960.0,1.07,0.0,25.7,29.2
2015-04-12 14:33:46,0.6,4.4,20.94,960.0,1.07,0.0,25.7,29.2
2015-04-12 14:33:47,0.6,4.4,20.94,960.0,1.07,0.0,25.7,29.2
2015-04-12 14:33:48,0.6,4.7,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:49,0.6,4.7,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:50,0.8,5.2,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:51,0.8,5.2,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:52,0.8,5.4,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:53,0.8,5.6,20.94,960.0,1.07,0.0,25.7,29.1
2015-04-12 14:33:54,0.8,5.6,20.94,960.0,1.07,0.0,25.7,29.1
