,vim_eng_fuel_rate,vim_eng_ground_spd,vim_eng_load,vim_eng_payload,vim_eng_rpm
2015-04-12 14:35:03,35.61,0.0,21.0,0.0,1257.5
2015-04-12 14:35:04,24.079,0.0,14.0,0.0,1266.5
2015-04-12 14:35:05,29.917,0.0,16.0,0.0,1317.0
2015-04-12 14:35:06,30.67,0.0,17.0,0.0,1344.5
2015-04-12 14:35:07,30.393,0.0,16.0,0.0,1382.5
2015-04-12 14:35:08,28.61,0.0,16.0,0.0,1416.5
2015-04-12 14:35:09,24.013,0.0,14.0,0.0,1418.5
2015-04-12 14:35:10,28.544,0.0,16.0,0.0,1408.5
2015-04-12 14:35:11,30.419,0.0,16.0,0.0,1425.5
2015-04-12 14:35:12,26.76,0.0,15.0,0.0,1430.0
2015-04-12 14:35:13,0.0,0.0,0.0,0.0,1260.5
2015-04-12 14:35:14,0.0,0.0,0.0,0.0,1084.0
2015-04-12 14:35:15,0.0,0.0,0.0,0.0,932.5
2015-04-12 14:35:16,0.0,0.0,0.0,0.0,805.0
2015-04-12 14:35:17,4.438,0.0,0.0,0.0,734.5
2015-04-12 14:35:18,5.468,0.0,5.0,0.0,678.5
2015-04-12 14:35:19,8.969,0.0,9.0,0.0,684.5
2015-04-12 14:35:20,8.691,0.0,8.0,0.0,697.0
2015-04-12 14:35:21,8.348,0.0,8.0,0.0,703.0
2015-04-12 14:35:22,7.436,0.0,7.0,0.0,705.0
2015-04-12 14:35:23,7.318,0.0,7.0,0.0,701.5
2015-04-12 14:35:24,7.568,0.0,7.0,0.0,699.0
2015-04-12 14:35:25,7.687,0.0,7.0,0.0,698.5
2015-04-12 14:35:26,7.978,0.0,7.0,0.0,699.0
2015-04-12 14:35:27,7.846,0.0,7.0,0.0,700.0
2015-04-12 14:35:28,7.912,0.0,7.0,0.0,700.5
2015-04-12 14:35:29,7.912,0.0,7.0,0.0,700.0
2015-04-12 14:35:30,7.912,0.0,7.0,0.0,700.0
2015-04-12 14:35:31,7.938,0.0,7.0,0.0,700.0
2015-04-12 14:35:32,7.938,0.0,7.0,0.0,700.0
2015-04-12 14:35:33,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:35:34,7.938,0.0,7.0,0.0,699.5
2015-04-12 14:35:35,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:35:36,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:35:37,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:35:38,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:35:39,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:35:40,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:35:41,8.004,0.0,7.0,0.0,699.5
2015-04-12 14:35:42,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:35:43,7.978,0.0,7.0,0.0,700.0
2015-04-12 14:35:44,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:35:45,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:35:46,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:35:47,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:35:48,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:35:49,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:35:50,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:35:51,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:35:52,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:35:53,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:35:54,8.031,0.0,7.0,0.0,699.5
2015-04-12 14:35:55,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:35:56,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:35:57,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:35:58,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:35:59,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:36:00,8.031,0.0,8.0,0.0,700.0
2015-04-12 14:36:01,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:36:02,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:36:03,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:36:04,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:36:05,8.097,0.0,8.0,0.0,698.5
2015-04-12 14:36:06,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:36:07,9.537,0.0,9.0,0.0,691.5
2015-04-12 14:36:08,9.814,0.0,10.0,0.0,697.0
2015-04-12 14:36:09,9.655,0.0,9.0,0.0,699.5
2015-04-12 14:36:10,7.978,0.0,7.0,0.0,707.5
2015-04-12 14:36:11,7.938,0.0,7.0,0.0,703.0
2015-04-12 14:36:12,7.938,0.0,7.0,0.0,700.0
2015-04-12 14:36:13,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:36:14,7.938,0.0,7.0,0.0,699.5
2015-04-12 14:36:15,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:36:16,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:36:17,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:36:18,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:36:19,8.07,0.0,8.0,0.0,699.0
2015-04-12 14:36:20,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:36:21,8.229,0.0,8.0,0.0,698.0
